sample_index,sample_name,sig_A,sig_B,sig_C,sig_D,B_A,AsimovSig,signalEff,muIsoCut,egmIsoCut
15,2Mu2E_500GeV_0p25GeV_0p4mm_info,17.353860035211266,0.10533450704225351,2.1066901408450702,0.0,126.9255606556638,1.507117160698926,0.8869448183041722,0.24,0.1
3,2Mu2E_500GeV_0p25GeV_0p04mm_info,15.063444945267225,0.06420905773771196,1.605226443442799,0.012841811547542391,126.9255606556638,1.3118375798475,0.8995398773006135,0.24,0.1
12,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.678210580912863,0.4344502074688797,4.2514056016597515,0.09309647302904564,126.9255606556638,1.2788888887609977,0.7543859649122807,0.24,0.1
16,2Mu2E_500GeV_1p2GeV_1p9mm_info,13.745449688334817,0.13319234194122886,2.3441852181656277,0.0,126.9255606556638,1.198985690214505,0.8472906403940886,0.24,0.1
0,2Mu2E_200GeV_0p25GeV_0p1mm_info,12.403399477806788,0.12497127937336815,3.9365953002610965,0.0937284595300261,126.9255606556638,1.0837082753306029,0.7490566037735849,0.24,0.1
6,2Mu2E_800GeV_0p25GeV_0p025mm_info,11.479287698412698,0.02374206349206349,0.9852956349206349,0.011871031746031746,126.9255606556638,1.004113387732613,0.9183285849952518,0.24,0.1
4,2Mu2E_500GeV_1p2GeV_0p19mm_info,11.441057367829021,0.040380202474690666,1.5209876265466817,0.0,126.9255606556638,1.0008167248908977,0.8799171842650104,0.24,0.1
19,2Mu2E_800GeV_1p2GeV_1p2mm_info,11.232592140093667,0.07309712889431888,1.486308287517817,0.024365709631439626,126.9255606556638,0.9828350503965976,0.8764258555133081,0.24,0.1
18,2Mu2E_800GeV_0p25GeV_0p25mm_info,10.705529720986656,0.06048321876263647,1.2217610190052568,0.0,126.9255606556638,0.9373313289980788,0.893037336024218,0.24,0.1
20,2Mu2E_800GeV_5p0GeV_5p0mm_info,10.038590604026846,0.0,3.2123489932885905,0.0,126.9255606556638,0.8796675061670578,0.7575757575757576,0.24,0.1
10,2Mu2E_1000GeV_1p2GeV_0p096mm_info,9.589353754940712,0.047296442687747034,0.8513359683794466,0.0,126.9255606556638,0.8407732118990561,0.9143179255918827,0.24,0.1
17,2Mu2E_500GeV_5p0GeV_8p0mm_info,9.350151237396883,0.1233890925756187,4.304908340971585,0.04112969752520623,126.9255606556638,0.8200458844916236,0.6765873015873015,0.24,0.1
23,2Mu2E_1000GeV_5p0GeV_4p0mm_info,8.542261564820103,0.05125356938892062,2.750608223872073,0.017084523129640206,126.9255606556638,0.7499504328438256,0.7518796992481204,0.24,0.1
22,2Mu2E_1000GeV_1p2GeV_0p96mm_info,8.075214723926381,0.0,0.5505828220858896,0.0,126.9255606556638,0.7093638444741627,0.9361702127659575,0.24,0.1
9,2Mu2E_1000GeV_0p25GeV_0p02mm_info,7.556000779575131,0.034981485090625604,0.5713642564802183,0.0,126.9255606556638,0.6641886502176161,0.9257142857142858,0.24,0.1
21,2Mu2E_1000GeV_0p25GeV_0p2mm_info,7.32419996063767,0.03532572328281834,0.8242668765990947,0.0,126.9255606556638,0.644001523027457,0.8949640287769784,0.24,0.1
5,2Mu2E_500GeV_5p0GeV_0p8mm_info,7.304101734104046,0.013833526011560694,2.3240323699421968,0.013833526011560694,126.9255606556638,0.6422506539781341,0.7564469914040115,0.24,0.1
13,2Mu2E_200GeV_1p2GeV_4p8mm_info,7.197857981220658,0.2457805164319249,2.808920187793427,0.0,126.9255606556638,0.6329937066664093,0.702054794520548,0.24,0.1
8,2Mu2E_800GeV_5p0GeV_0p5mm_info,7.07886234357224,0.13613196814562,1.3613196814562,0.0,126.9255606556638,0.6226227804398341,0.8253968253968252,0.24,0.1
7,2Mu2E_800GeV_1p2GeV_0p12mm_info,6.903461538461538,0.0,1.150576923076923,0.0,126.9255606556638,0.6073303031578858,0.8571428571428571,0.24,0.1
11,2Mu2E_1000GeV_5p0GeV_0p4mm_info,6.782348178137651,0.04844534412955465,1.5623623481781375,0.012111336032388663,126.9255606556638,0.5967670090734262,0.8069164265129684,0.24,0.1
24,2Mu2E_200GeV_0p25GeV_5p0mm_info,6.326329740751529,0.24399067870667054,1.3245208272647828,0.08713952810952519,126.9255606556638,0.5569651130222956,0.7925764192139738,0.24,0.1
1,2Mu2E_200GeV_1p2GeV_0p48mm_info,5.819331306990882,0.14548328267477204,2.0367659574468084,0.03637082066869301,126.9255606556638,0.5126600591335606,0.7239819004524886,0.24,0.1
2,2Mu2E_200GeV_5p0GeV_2p0mm_info,5.2659363295880155,0.07469413233458178,1.6806179775280898,0.03734706616729089,126.9255606556638,0.46423587715652753,0.746031746031746,0.24,0.1
14,2Mu2E_200GeV_5p0GeV_20p0mm_info,5.205842137973897,0.18592293349906774,4.201858297078931,0.07436917339962709,126.9255606556638,0.45897332741567465,0.5384615384615384,0.24,0.1
28,2Mu2E_500GeV_1p2GeV_9p6mm_info,4.863029556650246,0.08841871921182265,0.44209359605911325,0.014736453201970442,126.9255606556638,0.4289373285588691,0.899182561307902,0.24,0.1
27,2Mu2E_500GeV_0p25GeV_2p0mm_info,4.437153110047847,0.0,0.7156698564593301,0.0,126.9255606556638,0.39158716174314356,0.861111111111111,0.24,0.1
29,2Mu2E_500GeV_5p0GeV_40p0mm_info,3.894708713272543,0.045463525835866256,1.2426697061803444,0.01515450861195542,126.9255606556638,0.3439550987324298,0.749271137026239,0.24,0.1
31,2Mu2E_800GeV_1p2GeV_6p0mm_info,3.6660539215686274,0.0,0.4399264705882353,0.0,126.9255606556638,0.3238571446835899,0.8928571428571429,0.24,0.1
25,2Mu2E_200GeV_1p2GeV_24p0mm_info,3.5632088888888886,0.10636444444444444,0.8509155555555555,0.05318222222222222,126.9255606556638,0.31481359398798126,0.7790697674418604,0.24,0.1
32,2Mu2E_800GeV_5p0GeV_25p0mm_info,3.291751841620626,0.04131906077348066,0.7850621546961326,0.0,126.9255606556638,0.2909319086449205,0.7993311036789298,0.24,0.1
30,2Mu2E_800GeV_0p25GeV_1p2mm_info,3.0045633187772927,0.013063318777292577,0.339646288209607,0.0,126.9255606556638,0.2656481210568277,0.8949416342412452,0.24,0.1
35,2Mu2E_1000GeV_5p0GeV_20p0mm_info,2.9031999105545614,0.05351520572450805,0.5485308586762074,0.0,126.9255606556638,0.2567197335029174,0.8282442748091603,0.24,0.1
34,2Mu2E_1000GeV_1p2GeV_4p8mm_info,2.836711409395973,0.06476510067114094,0.33677852348993287,0.0,126.9255606556638,0.2508619661354037,0.876,0.24,0.1
39,2Mu2E_500GeV_0p25GeV_4p0mm_info,2.78370249017038,0.01960353866317169,0.2156389252948886,0.0,126.9255606556638,0.2461910582349059,0.922077922077922,0.24,0.1
40,2Mu2E_500GeV_1p2GeV_19p0mm_info,2.55734592445328,0.039648774022531474,0.3171901921802518,0.0,126.9255606556638,0.22623835709059853,0.8775510204081632,0.24,0.1
36,2Mu2E_200GeV_0p25GeV_10p0mm_info,2.361089187056038,0.0,0.8027703235990529,0.09444356748224152,126.9255606556638,0.20892944405860442,0.7246376811594202,0.24,0.1
26,2Mu2E_200GeV_5p0GeV_100p0mm_info,2.0895723449750534,0.0,1.7057733428367783,0.08528866714183891,126.9255606556638,0.18496847736767597,0.5384615384615384,0.24,0.1
37,2Mu2E_200GeV_1p2GeV_48p0mm_info,2.0106357856494097,0.05434150772025431,0.8151226158038147,0.0,126.9255606556638,0.17799928357463257,0.6981132075471699,0.24,0.1
43,2Mu2E_800GeV_1p2GeV_12p0mm_info,1.969637571730595,0.0,0.18070069465418304,0.0,126.9255606556638,0.17437904912729324,0.9159663865546219,0.24,0.1
41,2Mu2E_500GeV_5p0GeV_80p0mm_info,1.9149004267425318,0.021276671408250354,0.5319167852062588,0.0,126.9255606556638,0.16954503703133386,0.7758620689655172,0.24,0.1
33,2Mu2E_1000GeV_0p25GeV_1p0mm_info,1.8072452669644756,0.025454158689640502,0.10181663475856201,0.0,126.9255606556638,0.16003566585936138,0.9342105263157895,0.24,0.1
46,2Mu2E_1000GeV_1p2GeV_9p6mm_info,1.671517857142857,0.017232142857142856,0.13785714285714284,0.0,126.9255606556638,0.14804283998788884,0.9150943396226414,0.24,0.1
44,2Mu2E_800GeV_5p0GeV_50p0mm_info,1.6029221183800624,0.07455451713395639,0.37277258566978194,0.0,126.9255606556638,0.1419801380766446,0.7818181818181819,0.24,0.1
42,2Mu2E_800GeV_0p25GeV_2p5mm_info,1.576778916544656,0.017519765739385067,0.08759882869692534,0.0,126.9255606556638,0.13966923752162225,0.9375,0.24,0.1
47,2Mu2E_1000GeV_5p0GeV_40p0mm_info,1.462511111111111,0.03323888888888889,0.33238888888888884,0.0,126.9255606556638,0.12956681432485923,0.8,0.24,0.1
38,2Mu2E_200GeV_5p0GeV_200p0mm_info,1.344494382022472,0.06111338100102145,1.0389274770173647,0.06111338100102145,126.9255606556638,0.11912979884218367,0.5365853658536586,0.24,0.1
45,2Mu2E_1000GeV_0p25GeV_2p0mm_info,0.7030945719082261,0.0,0.03348069390039172,0.0,126.9255606556638,0.06235036227280735,0.9545454545454545,0.24,0.1
