scan_variable,scan_cut,muIsoCut,egmIsoCut,fixed_mu_iso,fixed_egm_iso,dPhiCut,mJJCut,pixelCut,signal_name,sig_A,sig_B,sig_C,sig_D,signalEff,AsimovSig,ACounts,BCounts,CCounts,DCounts,A_Unc,B_Unc,C_Unc,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio,fixed_value,fixed_variable,scanned_variable
egm,0.0,0.1,0.0,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,0.3103215767634855,0.062064315352697096,15.764336099585062,3.3204408713692946,0.015948963317384372,,0.0,2.187378730131629,563.0061555134087,5003.89293428883,0.0,1.1521374371022102,210.16196564678265,418.94740450804517,0.2461099199514021,0.1602147832503669,,,-1.5361249128103696,0.0,,0.0004371353981502618,0.00023313883944238136,0.0,0.1,muIsoCut,egmIsoCut
egm,0.01,0.1,0.01,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,1.2723184647302905,0.3103215767634855,14.802339211618257,3.0721836099585063,0.06539074960127592,0.6256750440102778,3.731968562779276,32.16173668832171,559.2741869506293,4973.9185763306405,3.131520342952504,12.146109803197337,210.1386337275017,418.77288257640356,3.616309527638245,1.950428178057266,0.030991428034671697,0.9665782781509513,0.03135025613085529,0.006672878258743453,0.006134973060925182,0.00646607623240348,0.002501907898370219,1.0319826149440714,0.1,muIsoCut,egmIsoCut
egm,0.02,0.1,0.02,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,3.444569502074689,0.7447717842323651,12.630088174273858,2.6377334024896264,0.17703349282296652,1.4640073559017268,4.497738308301394,99.58520144623412,558.5084172051073,4906.495111572727,3.2018354188456692,35.91458161367499,210.1375741138887,417.40675364950226,11.335825670263395,5.986155233123006,-1.5203390889463413,2.233923028045468,-1.0072819652337581,0.008053125377785738,0.0064842961283702654,0.02029660667781917,0.0075207012458197615,0.39677200753889913,0.1,muIsoCut,egmIsoCut
egm,0.03,0.1,0.03,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,4.996177385892116,1.1171576763485478,11.078480290456431,2.265347510373444,0.25677830940988833,1.2517389182068712,14.349381081524188,164.44655712490197,548.6567744318844,4841.633755894059,6.228756496690992,39.15070988918415,210.0696417786834,417.1156639109523,18.635180219639803,8.553915704162034,-0.298674842752199,0.8204533826775067,-0.40502984167274775,0.02615365698597723,0.015137999404415552,0.03396509637365893,0.00859941795097822,0.7700156860517631,0.1,muIsoCut,egmIsoCut
egm,0.04,0.1,0.04,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,6.796042531120332,1.303350622406639,9.278615145228216,2.0791545643153526,0.34928229665071775,1.3678120908223201,22.521428571246886,231.6317745580697,540.4847269421617,4774.448538460891,9.659648813284122,43.19746119527642,209.93985564757222,416.71601182458085,26.221549025954,11.527766208119218,-0.16429332815197428,0.7151047766920924,-0.2460204913442809,0.04166894539030507,0.02411188926664041,0.04851487510906116,0.00998948539528751,0.8588900887951071,0.1,muIsoCut,egmIsoCut
egm,0.05,0.1,0.05,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,8.347650414937759,1.582640041493776,7.7270072614107885,1.7998651452282157,0.4290271132376394,1.6397433183221921,23.277255258533934,287.04252247185076,539.7289002548747,4719.0377905471105,9.682671163122182,45.996336668843426,209.93879508958386,416.4163687677851,32.82981655507268,14.111570877166757,-0.41038177355711114,0.843633095819581,-0.5581708483207134,0.043127679928834234,0.024561221719853407,0.06082649370743266,0.011127124325103297,0.7090278807828811,0.1,muIsoCut,egmIsoCut
egm,0.06,0.1,0.06,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,9.61996887966805,1.7998651452282157,6.4546887966804976,1.582640041493776,0.4944178628389155,1.874699736974821,23.31161940227843,348.5035209277029,539.6945361111302,4657.5767920912585,9.682715775403468,57.29306341792063,209.93879303199824,415.0129637118481,40.38268276747436,17.429408605658328,-0.7322984761636695,1.0376565228405403,-0.8561907999964693,0.043194099333031345,0.024580499752434447,0.07482507245387238,0.013991724635474084,0.577267724794511,0.1,muIsoCut,egmIsoCut
egm,0.07,0.1,0.07,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,10.612997925311204,1.9239937759336099,5.461659751037344,1.4585114107883816,0.5454545454545454,2.0518579261091565,23.438167220376698,371.757789732489,539.5679882930319,4634.322523286472,9.683200616897775,58.332832257356614,209.9387706697654,414.8680945138306,43.28326346090687,18.567637439481512,-0.8467000023481881,1.0998437652971307,-0.9476713406263207,0.04343876532506179,0.024652088228604416,0.08021836802779399,0.014491572706034914,0.5415064703137711,0.1,muIsoCut,egmIsoCut
egm,0.08,0.1,0.08,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,11.450866182572614,2.14121887966805,4.623791493775934,1.241286307053942,0.5885167464114833,2.2024299329310955,23.469930116314437,436.665317052622,539.5362253970942,4569.41499596634,9.683244877346759,67.98086925733976,209.93876862829498,413.39673024797634,51.55950097164967,22.106227060616927,-1.196832317613489,1.3071633642962208,-1.1638997923247487,0.04350019333556475,0.024669992568157596,0.09556263054200355,0.017207041409582315,0.45520087809266296,0.1,muIsoCut,egmIsoCut
egm,0.09,0.1,0.09,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,12.102541493775934,2.265347510373444,3.972116182572614,1.1171576763485478,0.6220095693779905,2.1981862158099417,26.533515118751684,520.6180922163327,536.472640394657,4485.4622208026285,10.155533448358309,82.68986986257526,209.9164522968572,410.7074878630922,62.267242219364306,26.906293620953466,-1.3467392820244535,1.3546432612952632,-1.2425207179680224,0.04945921398569787,0.027071890288879765,0.11606788031829043,0.02127908270251119,0.4261231776617867,0.1,muIsoCut,egmIsoCut
egm,0.1,0.1,0.1,0.1,0.1,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,12.630088174273858,2.482572614107884,3.444569502074689,0.8999325726141079,0.6491228070175438,2.288060886794062,26.536116375432577,559.5692313981295,536.4700391379762,4446.511081620832,10.155533781502623,84.06438812713074,209.91645228074,410.42835405648174,67.51183612459063,28.974975742279923,-1.5441490823085857,1.4629688207831963,-1.3345765916682104,0.04946430264413645,0.0270734454410328,0.12584456017911388,0.02218905613065296,0.3930587271609847,0.1,muIsoCut,egmIsoCut
