scan_variable,scan_cut,muIsoCut,egmIsoCut,fixed_mu_iso,fixed_egm_iso,dPhiCut,mJJCut,pixelCut,signal_name,sig_A,sig_B,sig_C,sig_D,signalEff,AsimovSig,ACounts,BCounts,CCounts,DCounts,A_Unc,B_Unc,C_Unc,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
mu,0.0,0.0,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,1.0861255186721992,16.88149377593361,0.15516078838174274,1.3343827800829875,0.055821371610845306,3.3124818936774516,0.002601254145426209,1866.4740016835817,0.6660902792728509,3701.9437753153697,0.0026012528776918815,271.41368359904135,0.6608980106962666,382.1262651682994,0.33583443306915717,0.3385556023851415,129.10481417575272,183.3229308976111,-0.9842499751934661,0.0039052576300406512,0.005501383294563665,0.5041875606348387,0.08991036441879986,0.007745644547682644
mu,0.01,0.01,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,2.265347510373444,15.702271784232366,0.27928941908713695,1.2102541493775933,0.1164274322169059,0.692218111181216,9.980637880479849,1856.495965057247,4.4829007592116445,3698.1269648354314,5.343692808784637,271.36107421428807,3.2018296858615667,382.11342243412065,2.250460097872503,1.6570606790794593,0.22548259187661313,0.2052793202458443,1.381691383676753,2.2263793950761084,1.9873306440928322,0.502009796502447,0.08986046913155492,4.434932167833215
mu,0.02,0.02,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,4.406566390041494,13.561052904564315,0.4344502074688797,1.0550933609958506,0.22647527910685802,1.227160803496883,11.505493306947931,1854.971109630779,120.70293127342404,3581.906934321219,5.425839630623599,271.35944412507513,115.97915346708601,364.1012981008337,62.50872913937971,61.08587938595068,5.432946460594781,5.895153676172847,-0.8316688371366563,0.09532074478692608,0.1020268047123317,0.5178725030113885,0.09225232216731563,0.18406218563959917
mu,0.03,0.03,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,6.423656639004149,11.54396265560166,0.5896109958506224,0.8999325726141079,0.3301435406698564,0.542509458817155,138.0756767906723,1728.4009261470549,121.49556938347251,3581.1142962111708,116.33479426282948,245.21746123674015,115.98107696741859,364.1006853922851,58.639026089541716,56.9055164899205,0.4246875876512312,0.5457903193342978,0.6133780222231121,1.136466765753972,1.4470052461845175,0.4826433291938512,0.08424289981911454,2.3546720673674035
mu,0.04,0.04,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,8.657971991701245,9.309647302904564,0.8689004149377594,0.620643153526971,0.44497607655502397,0.7289934984468075,138.1971760933565,1728.2794268443706,172.82978716601164,3529.780078428631,116.33483456307945,245.2174421177008,120.9955398814218,362.46516887344814,84.62231608431595,61.06866079979051,0.6123302839932919,0.6789491980723003,0.40775632606461626,0.7996143393997888,0.8754779219596983,0.48962807552978116,0.08575652508010424,1.633105574133183
mu,0.05,0.05,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,10.550933609958506,7.416685684647303,0.9309647302904565,0.5585788381742739,0.5422647527910687,0.862358421958607,146.21856265001227,1720.2580402877147,174.21768975653202,3528.3921758381107,116.5688419496167,245.10628865472282,120.99915676397673,362.46396149142964,84.93936235782414,60.85027026622394,0.5809068343882876,0.6226251054076976,0.4660176890126713,0.8392865434867818,0.8873981231210046,0.48754728912159434,0.08563945553416893,1.7214464365065183
mu,0.06,0.06,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,11.94738070539419,6.020238589211618,0.9930290456431535,0.49651452282157676,0.6140350877192982,0.931843594989363,160.44924762434223,1706.027355313385,174.2228922698938,3528.386973324749,116.88258162598576,244.95683245015192,120.99915681989874,362.4639614727616,84.23934856957626,60.36560444046022,0.5250217736564572,0.5364941239138139,0.5793203139089476,0.9209423947329815,0.926914082557164,0.483514809518135,0.0853635246252056,1.9046829106450358
mu,0.07,0.07,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,12.81628112033195,5.151338174273859,1.1481898340248962,0.341353734439834,0.6586921850079743,0.9566609230208841,175.25493306547074,1691.2216698722566,174.8914298180417,3527.7184357766014,117.34425938362942,244.73600560864463,121.00096174533536,362.4633589404009,83.84460987122438,59.88716460013542,0.4784151202174845,0.46837979150078346,0.6938547662073747,1.0020784508869716,0.9648042065590257,0.4794094825484411,0.08508385780150739,2.090234939784943
mu,0.08,0.08,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,13.623117219917013,4.344502074688797,1.1792219917012448,0.3103215767634855,0.7001594896331739,1.01207298669853,176.70325643060394,1689.773346507123,364.9362069560077,3337.6736586386355,117.34802147879343,244.73420175075586,174.00514858254883,340.2104166312653,184.7572707096808,93.97478995760896,1.0455793200519758,0.8746307260798035,-0.05357234982397988,0.48420313759633377,0.39585546889755047,0.506272787375008,0.08966358002576047,0.9564075922525799
mu,0.09,0.09,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.274792531120331,3.6928267634854772,1.2102541493775933,0.27928941908713695,0.733652312599681,1.0491479237412378,180.4277292040232,1686.0488737337039,365.66582301701413,3336.944042577629,117.38979745233796,244.71416613197138,174.00640859965642,340.2097721757907,184.75900140791828,93.82858003487581,1.0240055795359337,0.8451677771739878,-0.028821291655941692,0.49342245801196477,0.3977334574605119,0.5052673500725868,0.08961925820045477,0.9765571789688757
mu,0.1,0.1,0.3,0.24,0.3,2.0,150.0,3,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.802339211618257,3.165280082987552,1.2723184647302905,0.21722510373443984,0.7607655502392344,1.0661872332537834,187.87811837410743,1678.5984845636199,375.1280371393012,3327.4818284553417,117.61988553881143,244.6036593704271,174.16547973222575,340.1283654553052,189.23900628832766,94.0959460532428,1.0072434614844843,0.8052730654354002,-0.009034822255478301,0.5008373135925859,0.3903605236871954,0.5044651093835864,0.08979270661144696,0.9928086289348468
