candidate_rank,sample_index,sample_name,muIsoCut,egmIsoCut,S_A,S_A_Unc,B_A,B_A_Unc,AsimovSig,signalEff,S_B,S_C,S_D
1,0,2Mu2E_200GeV_0p25GeV_0p1mm_info,0.21428571428571427,0.10714285714285714,12.74707049608355,0.6310740265923792,124.99372482680053,39.44477610084238,1.1215618305187998,0.7698113207547169,0.12497127937336815,3.592924281984334,0.0937284595300261
1,1,2Mu2E_200GeV_1p2GeV_0p48mm_info,0.21428571428571427,0.10714285714285714,5.964814589665654,0.46577376671806364,124.99372482680053,39.44477610084238,0.5293614749192127,0.7420814479638008,0.18185410334346505,1.8549118541033434,0.03637082066869301
1,2,2Mu2E_200GeV_5p0GeV_2p0mm_info,0.21428571428571427,0.10714285714285714,5.2659363295880155,0.4434718396176521,124.99372482680053,39.44477610084238,0.46776096962133423,0.746031746031746,0.11204119850187266,1.643270911360799,0.03734706616729089
1,3,2Mu2E_500GeV_0p25GeV_0p04mm_info,0.21428571428571427,0.10714285714285714,15.063444945267225,0.4398203283659155,124.99372482680053,39.44477610084238,1.3215616947926965,0.8995398773006135,0.06420905773771196,1.605226443442799,0.012841811547542391
1,4,2Mu2E_500GeV_1p2GeV_0p19mm_info,0.21428571428571427,0.10714285714285714,11.508357705286839,0.3935775291225559,124.99372482680053,39.44477610084238,1.0141455994121538,0.8850931677018634,0.06730033745781777,1.4267671541057367,0.0
1,5,2Mu2E_500GeV_5p0GeV_0p8mm_info,0.21428571428571427,0.10714285714285714,7.414769942196532,0.32026928180066555,124.99372482680053,39.44477610084238,0.6568136788591373,0.7679083094555874,0.013833526011560694,2.213364161849711,0.013833526011560694
1,6,2Mu2E_800GeV_0p25GeV_0p025mm_info,0.21428571428571427,0.10714285714285714,11.514900793650794,0.36972118261445974,124.99372482680053,39.44477610084238,1.014713847812899,0.9211775878442545,0.02374206349206349,0.9496825396825397,0.011871031746031746
1,7,2Mu2E_800GeV_1p2GeV_0p12mm_info,0.21428571428571427,0.10714285714285714,6.903461538461538,2.8183263713599525,124.99372482680053,39.44477610084238,0.6119228617300045,0.8571428571428571,0.0,1.150576923076923,0.0
1,8,2Mu2E_800GeV_5p0GeV_0p5mm_info,0.21428571428571427,0.10714285714285714,7.07886234357224,0.6941395619983077,124.99372482680053,39.44477610084238,0.6273289010994139,0.8253968253968252,0.13613196814562,1.3613196814562,0.0
1,9,2Mu2E_1000GeV_0p25GeV_0p02mm_info,0.21428571428571427,0.10714285714285714,7.556000779575131,0.2968277438826897,124.99372482680053,39.44477610084238,0.6692029385278025,0.9257142857142856,0.04664198012083414,0.5597037614500097,0.0
