ACounts,A_Unc,QCD_ACounts,QCDA_Unc,TTJets_ACounts,TTJetsA_Unc,DY_ACounts,DYA_Unc,BCounts,B_Unc,QCD_BCounts,QCDB_Unc,TTJets_BCounts,TTJetsB_Unc,DY_BCounts,DYB_Unc,CCounts,C_Unc,QCD_CCounts,QCDC_Unc,TTJets_CCounts,TTJetsC_Unc,DY_CCounts,DYC_Unc,DCounts,D_Unc,QCD_DCounts,QCDD_Unc,TTJets_DCounts,TTJetsD_Unc,DY_DCounts,DYD_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AB,tf_AB_Unc,tf_CD,tf_CD_Unc,tf_AC,tf_AC_Unc,tf_BD,tf_BD_Unc,tf_closure_ratio,tf_closure_ratio_Unc,tf_AC_minus_BD,tf_AC_minus_BD_pull,status,muIsoCut,egmIsoCut,mu_idx,egm_idx,dPhiCut,mJJCut,pixelCut,n_valid_neighbors,valid_neighbor_count,closure_compatible_neighbor_count,closure_central_good_neighbor_count,target_a_neighbor_count,sideband_neighbor_count,closure_compatible_neighbor_fraction,target_a_neighbor_fraction,sideband_neighbor_fraction,local_stability_status,closure_local_mean,closure_local_std,local_closure_mean,local_closure_std,closureSignificance_local_mean,closureSignificance_local_std,tf_AC_local_mean,tf_AC_local_std,local_tf_AC_mean,local_tf_AC_std,tf_BD_local_mean,tf_BD_local_std,local_tf_BD_mean,local_tf_BD_std,ACounts_local_mean,ACounts_local_std,local_A_mean,local_A_std,closure_compatible,closure_central_good,finite_required_values,target_a_pass,sideband_min_pass,candidate_range_pass,edge_margin_pass,closure_significance_pass,neighbor_count_pass,local_stability_pass,no_zero_denominator_status,candidate_filter_status,candidate_hard_pass,stability_score
107.04722049931104,37.92599221810482,76.43738298596723,36.66994233336469,30.60983747024084,9.679680521352758,4.3102977642290514e-08,7.606407819227737e-09,479.0581272742512,75.70716829896871,335.1918911628515,72.74065659154948,143.86623611013192,20.985047307038485,1.267734636537956e-09,1.267734636537956e-09,982.0774447138552,249.4676644696553,954.528590781473,249.29859410443652,27.54885372321675,9.182951241072251,2.091654296613322e-07,2.562981436315834e-08,4000.903676044953,387.6625273813557,3887.6472773923847,387.2151328915455,113.2563986398911,18.61923724224994,1.2677346365379561e-08,4.008928920145659e-09,117.5914792250088,36.978600488997,-0.0985010042905842,0.5203837379452312,-0.1990617739976665,0.223453510972435,0.0866865677210808,0.2454639062154769,0.0667349234922657,0.1090007932424321,0.0475185061219342,0.119737480845282,0.0221960291121554,0.9103314390193056,0.4312437359234447,-0.0107366876028499,-0.2047155833126017,valid,0.21,0.1,21,10,2.0,150.0,3,9,9,9,7,9,9,1.0,1.0,1.0,stable,-0.06390908805863452,0.054115032085686535,-0.06390908805863452,0.054115032085686535,-0.13025134460618115,0.1070008766168525,0.11518266385144786,0.010369098283240348,0.11518266385144786,0.010369098283240348,0.12250338270608802,0.012133657809670757,0.12250338270608802,0.012133657809670757,113.73891985126521,10.512104989258168,113.73891985126521,10.512104989258168,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.290530852473232
106.91807142706736,37.92586834287896,76.30823391752676,36.66981421504522,30.60983747024084,9.679680521352758,3.929977373267664e-08,7.282581038778407e-09,440.233535908017,74.17801526024382,299.42828354364144,71.2135897070908,140.80525236310783,20.76060184530057,1.267734636537956e-09,1.267734636537956e-09,982.2065937860988,249.467683302088,954.6577398499136,249.2986129496411,27.54885372321675,9.182951241072251,2.1296863357094605e-07,2.572370186454492e-08,4039.7282674111866,387.95802932740014,3923.410885011594,387.4988863243572,116.31738238691518,18.869171073015707,1.2677346365379561e-08,4.008928920145659e-09,107.03697208122426,34.20555026108424,-0.001112072567059,0.477971008757535,-0.0023280799161674,0.2428667121111986,0.0953748359491739,0.2431367975191892,0.066020588587343,0.1088549721652057,0.0474905854062864,0.1089760267935386,0.0211351912802235,0.998889162764557,0.4769097025663566,-0.0001210546283328,-0.0023288126223003,valid,0.21,0.09,21,9,2.0,150.0,3,9,9,9,5,9,9,1.0,1.0,1.0,stable,-0.17522085641379814,0.17601089824600813,-0.17522085641379814,0.17601089824600813,-0.341129683601458,0.3364094048189803,0.09494000787261253,0.019562064590377876,0.09494000787261253,0.019562064590377876,0.10821536663705705,0.009691814700116078,0.10821536663705705,0.009691814700116078,95.18256923162652,18.47330714982675,95.18256923162652,18.47330714982675,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.3110516793573205
103.85708768004328,37.80214105129289,76.30823391752676,36.66981421504522,27.54885372321675,9.182951241072251,3.929977373267664e-08,7.282581038778407e-09,443.2945196550411,74.24114472075786,299.42828354364144,71.2135897070908,143.86623611013192,20.985047307038485,1.267734636537956e-09,1.267734636537956e-09,965.9890466361612,249.24909545695223,938.4401927012436,249.0798767315677,27.54885372321675,9.182951241072251,2.117008989344081e-07,2.5692444152071513e-08,4055.945814561125,388.09850031351806,3939.6284321602648,387.6395236925913,116.31738238691518,18.869171073015707,1.3945081001917517e-08,4.204600123133978e-09,105.57775424002888,34.01190642489657,-0.0165676373025835,0.4941229152922603,-0.0338375004808962,0.2342846190854375,0.093869308470488,0.238166161680019,0.0655422931252029,0.1075137322122876,0.0479684645551627,0.1092949807326279,0.0210811984218522,0.9837023758236636,0.478148101400981,-0.0017812485203402,-0.0339955797458404,valid,0.2,0.09,20,9,2.0,150.0,3,9,9,9,4,9,9,1.0,1.0,1.0,stable,-0.21055945090939107,0.19200952565692636,-0.21055945090939107,0.19200952565692636,-0.391273767951944,0.34193308764763847,0.09268975002407984,0.019232751378357123,0.09268975002407984,0.019232751378357123,0.10866011645780967,0.010011733085517218,0.10866011645780967,0.010011733085517218,90.50109433699517,17.697289193033736,90.50109433699517,17.697289193033736,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.31355153051222
118.15599719522552,38.75890259979097,84.48517593485762,37.40570403354389,33.67082121726492,10.15213457825504,4.3102977642290514e-08,7.606407819227737e-09,467.94935057833663,75.28415295954414,327.14409821396106,72.36505439683536,140.80525236310783,20.76060184530057,1.267734636537956e-09,1.267734636537956e-09,1027.1792448180386,251.71737438976936,999.6303908843886,251.5498160925255,27.54885372321675,9.182951241072251,2.1043316429787015e-07,2.5661148364768004e-08,3955.801875940769,386.2055335983233,3842.5454772894686,385.75644931288247,113.2563986398911,18.61923724224994,1.1409611728841604e-08,3.8032039096138685e-09,121.50958910848765,37.54375520439542,-0.0283827481708023,0.4634253347301216,-0.0621484755952551,0.2524974060743903,0.0922522804165479,0.2596639763647805,0.0684964515503279,0.1150295800769966,0.0471000314302409,0.1182944356805151,0.0222614721563673,0.972400598686348,0.438197814713969,-0.0032648556035185,-0.0626700683682897,valid,0.22,0.1,22,10,2.0,150.0,3,9,9,9,9,9,9,1.0,1.0,1.0,stable,-0.03426177675249266,0.04438271564174054,-0.03426177675249266,0.04438271564174054,-0.06965496758489295,0.09706548284396574,0.1181427718100748,0.013676461312824219,0.1181427718100748,0.013676461312824219,0.12179507372541787,0.01118511469419175,0.12179507372541787,0.01118511469419175,119.2439019726524,13.106582495697884,119.2439019726524,13.106582495697884,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.31547562482637
118.81948622035296,38.76453675918376,85.14866495998506,37.41154198451471,33.67082121726492,10.15213457825504,4.3102977642290514e-08,7.606407819227737e-09,467.2858615532092,75.28125203144546,326.4806091888336,72.36203644483007,140.80525236310783,20.76060184530057,1.267734636537956e-09,1.267734636537956e-09,1035.5439253607713,251.8256640037776,1007.9950714271212,251.65817780761185,27.54885372321675,9.182951241072251,2.1043316429787015e-07,2.5661148364768004e-08,3947.4371953980367,386.13493198712473,3834.180796746736,385.6857654946812,113.2563986398911,18.61923724224994,1.1409611728841604e-08,3.8032039096138685e-09,122.58460651445704,37.71550536498253,-0.031687734174524,0.4626491186689483,-0.0696153298835578,0.2542757998827729,0.0925199002459039,0.2623332238364727,0.0687623772065785,0.1147411358518255,0.0466891814745711,0.1183770224635811,0.0223111104491458,0.969285537547,0.4346655337949552,-0.0036358866117556,-0.0702638891040139,valid,0.23,0.1,23,10,2.0,150.0,3,9,9,9,8,9,9,1.0,1.0,1.0,stable,-0.005061671242969491,0.06253159400201641,-0.005061671242969491,0.06253159400201641,-0.0008871230988426645,0.14773157862344422,0.12134548377887724,0.017011808761552897,0.12134548377887724,0.017011808761552897,0.12098972435026425,0.010312154626024065,0.12098972435026425,0.010312154626024065,124.7968864632683,15.739624919257734,124.7968864632683,15.739624919257734,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.3451666041401596
119.2294071374982,38.317935384724535,79.43661839068855,36.69412885808617,39.79278871131309,11.036533853257223,3.549656982306277e-08,6.943668573624515e-09,340.90584003143823,56.981572847634325,218.4664901492072,53.5921149443501,122.43934988096336,19.359361042705515,1.267734636537956e-09,1.267734636537956e-09,1270.2691156158264,261.31666609679826,1230.476326685206,261.083501777595,39.79278871131309,11.036533853257223,2.1930730675363586e-07,2.5879424127274968e-08,3838.6821057476072,382.9944427441961,3725.425707097575,382.5415888206852,113.2563986398911,18.61923724224994,1.0141877092303648e-08,3.5856950329642076e-09,112.81011242806932,31.94987590121229,0.053839861017056,0.4053030062973675,0.1286677603497756,0.3497429293863165,0.1266935460735152,0.3309128186764591,0.0756584547188413,0.0938615334906381,0.0358158637118562,0.0888080415726544,0.0172874446075075,1.0569035396850792,0.4527417340379139,0.0050534919179837,0.1270687847930695,valid,0.3,0.08,30,8,2.0,150.0,3,9,9,9,3,9,9,1.0,1.0,1.0,stable,0.1185040060774441,0.06092529479024442,0.1185040060774441,0.06092529479024442,0.28935814019137257,0.1528133690256504,0.10131219029030908,0.017596649698078635,0.10131219029030908,0.017596649698078635,0.08869005438663424,0.012288581850392442,0.08869005438663424,0.012288581850392442,127.21163520973755,20.07667312661928,127.21163520973755,20.07667312661928,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.38261089043005725
107.61301537125308,37.9316375152483,77.00317786171246,36.67578096772768,30.60983747024084,9.679680521352758,3.929977373267664e-08,7.282581038778407e-09,439.5385919638313,74.17506530446848,298.73333959945575,71.21051694759045,140.80525236310783,20.76060184530057,1.267734636537956e-09,1.267734636537956e-09,1037.722226642011,251.84336397020908,1007.1123889575338,251.65727440476613,30.60983747024084,9.679680521352758,2.1423636820748405e-07,2.5754921640817885e-08,3984.2126345552742,386.42007913135086,3870.956235903974,385.9712444734663,113.2563986398911,18.61923724224994,1.1409611728841604e-08,3.8032039096138685e-09,114.48158223079233,35.615219885891214,-0.063826543990459,0.5001418237082261,-0.1320084425676603,0.24483177891262,0.0956795210322397,0.2604585452196488,0.0680711272503476,0.1037011761032434,0.0443789221062967,0.1103200637816594,0.0214729005381432,0.9400028657387668,0.4419280099912248,-0.006618887678416,-0.134255031485759,valid,0.22,0.09,22,9,2.0,150.0,3,9,9,9,6,9,9,1.0,1.0,1.0,stable,-0.17501061744072122,0.1822198356555252,-0.17501061744072122,0.1822198356555252,-0.34413774555038507,0.35038535807691645,0.0951820264540881,0.020109000263650444,0.0951820264540881,0.020109000263650444,0.10824382021733689,0.009388611329515843,0.10824382021733689,0.009388611329515843,97.8128006650421,19.323608669670683,97.8128006650421,19.323608669670683,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.3935442268335142
118.16173086087947,37.85431659938774,72.24697462636033,35.95003425190994,45.91475620536126,11.855139075235854,2.9157896640372994e-08,6.3386731826897805e-09,277.03422609198617,45.426142342766816,172.96077869189963,41.77280547390565,104.07344739881884,17.848448979800747,1.267734636537956e-09,1.267734636537956e-09,1470.7305258992417,270.1468928193881,1421.7547857212105,269.86928272031486,48.97573995238534,12.243934988096337,2.256459799363256e-07,2.6034214962290903e-08,3703.159985680263,378.4316048850824,3586.842603283206,377.96088945672193,116.31738238691518,18.869171073015707,1.0141877092303648e-08,3.5856950329642076e-09,110.02567931385497,29.331571805236663,0.0688552163864603,0.3880763552433415,0.1698963958399556,0.4265239444517053,0.1534999281629714,0.3971555459624766,0.0834803849628941,0.0803422032657086,0.0296689932639747,0.0748102234748833,0.0144541145280003,1.073946842207772,0.4475924513389798,0.0055319797908253,0.1676226229989472,valid,0.35,0.07,35,7,2.0,150.0,3,9,9,9,6,9,9,1.0,1.0,1.0,stable,0.06685361933083411,0.0734442729116079,0.06685361933083411,0.0734442729116079,0.16883734036761366,0.18493619270783399,0.083135606278051,0.0037373071644597653,0.083135606278051,0.0037373071644597653,0.07782600010744217,0.009516434482134505,0.07782600010744217,0.009516434482134505,121.98577847194252,5.07651933129247,121.98577847194252,5.07651933129247,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.3985756485209854
118.12736671840273,37.85430518808386,72.21261048388357,35.95002223614623,45.91475620536126,11.855139075235854,2.9157896640372994e-08,6.3386731826897805e-09,277.06859023446293,45.426151851982816,172.9951428343764,41.77281581477183,104.07344739881884,17.848448979800747,1.267734636537956e-09,1.267734636537956e-09,1462.4581830148657,270.045965985328,1413.4824428368345,269.7682520256159,48.97573995238534,12.243934988096337,2.256459799363256e-07,2.6034214962290903e-08,3711.432328564639,378.5036321238148,3595.114946167582,378.0330063816351,116.31738238691518,18.869171073015707,1.0141877092303648e-08,3.5856950329642076e-09,109.17650954489874,29.16820822028495,0.0757729340978322,0.385600759024312,0.1873018139067491,0.4263470161610169,0.1534676453975361,0.3940414518026407,0.0831202985300226,0.0807731585698283,0.0298737009570781,0.0746527393486429,0.0144141786879812,1.081985192701393,0.4514197072896446,0.0061204192211853,0.1845202592395058,valid,0.34,0.07,34,7,2.0,150.0,3,9,9,9,5,9,9,1.0,1.0,1.0,stable,0.07746793667799583,0.07437427254484912,0.07746793667799583,0.07437427254484912,0.1941875824806294,0.1866711614570424,0.08386763477158923,0.003912610208793382,0.08386763477158923,0.003912610208793382,0.07759848622748053,0.009471859068544013,0.07759848622748053,0.009471859068544013,120.54486466722126,5.1939042076870345,120.54486466722126,5.1939042076870345,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.40673352768656257
119.51526929624576,37.86586441201723,73.60051306045887,35.96219355345401,45.91475620536126,11.855139075235854,3.0425631276910954e-08,6.4642036497644955e-09,275.6806876566199,45.416516881886935,171.60724025780107,41.76233799367763,104.07344739881884,17.848448979800747,0.0,0.0,1479.5927767755995,270.2485758177031,1430.617036597568,269.97107027884323,48.97573995238534,12.243934988096337,2.256459799363256e-07,2.6034214962290903e-08,3694.297734803905,378.3589969121552,3577.980352406848,377.8881910398756,116.31738238691518,18.869171073015707,1.0141877092303648e-08,3.5856950329642076e-09,110.4120954601176,29.41831314806885,0.0761674544995907,0.3824390417498572,0.1898448040441236,0.4335278989332419,0.1548130064141656,0.400507182416941,0.0838682563069831,0.080775785859606,0.0295402766985722,0.0746232998654758,0.0144756829846915,1.0824472517996575,0.4481007859479486,0.0061524859941302,0.1870260998321112,valid,0.36,0.07,36,7,2.0,150.0,3,9,9,9,5,9,9,1.0,1.0,1.0,stable,0.07954925604182592,0.07416448766278937,0.07954925604182592,0.07416448766278937,0.20360081524219048,0.1901332668345002,0.08394380615554603,0.004059600617941459,0.08394380615554603,0.004059600617941459,0.07749164684898585,0.009488411439314266,0.07749164684898585,0.009488411439314266,123.7010304127173,5.658766481135909,123.7010304127173,5.658766481135909,True,True,True,True,True,True,True,True,True,True,True,pass,True,0.42091112714759576
