scan_variable,scan_cut,muIsoCut,egmIsoCut,ACounts,A_Unc,BCounts,B_Unc,CCounts,C_Unc,DCounts,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
mu,0.0,0.0,0.1,0.0026012528776915727,0.0026012528776915727,586.1027465206844,84.67559395014365,0.6660902805405855,0.6608980106962666,4982.3150304782675,460.99448366055793,0.0783566154422987,0.07889946251331242,30.12264440504325,42.747670779077446,-0.9596291512127296,0.0039052557193605167,0.005501381948824916,0.11763662934505821,0.020181909344149474,0.03319761660209939
mu,0.01,0.01,0.1,6.888045211378798,4.38001997083758,579.2173025621832,84.56223532186921,7.575493428312695,4.429694258860874,4975.405627330495,460.97367447655625,0.8819093753927932,0.5377617355034034,0.12803478321192074,0.11279943017335453,1.3610378848719915,0.9092536712704912,0.7854780700930855,0.11641609668576039,0.02012966949054773,7.810377577980656
mu,0.02,0.02,0.1,7.685885822111702,4.430661808167453,578.4194619514504,84.55959705153383,124.52253875826028,116.02143341030045,4858.458582000547,446.1562257114253,14.824920013977685,14.047940905726792,1.9288498888869168,2.139407315422206,-0.48465668269747436,0.06172284872084536,0.06762627686502665,0.11905410989698653,0.02055352776701287,0.5184436620814858
mu,0.03,0.03,0.1,10.846857007193565,5.385993995837893,575.2584907663686,84.50412585343345,248.72438916695125,164.18399934029483,4734.256731591857,430.7667177397425,30.222445642667438,20.62215136770871,2.786285983361273,2.351328530581296,-0.9090590880540702,0.04360994530340501,0.03602240094485931,0.12150977933402915,0.02099623432008052,0.35890070365054083
mu,0.04,0.04,0.1,10.876018647718148,5.3860729408594255,575.229329125844,84.50412082172008,300.15094461165,167.7638358594949,4682.8301761471575,429.38519551721083,36.86993121913761,21.574212683833657,3.3900209638637517,2.598713192311655,-1.168981497864819,0.03623516381662591,0.027059006918344237,0.12283796496739911,0.021272191221157026,0.29498342655092524
mu,0.05,0.05,0.1,10.881067172006347,5.3860741249906114,575.2242806015558,84.50412074624663,309.555185234538,167.9287975797726,4673.42593552427,429.3207072749423,38.10131179773219,21.69800741292309,3.501615346678053,2.6421067499765263,-1.2175536608743864,0.03515065387698863,0.0258138223274257,0.12308406906143181,0.021326077515045547,0.2855824815106233
mu,0.06,0.06,0.1,14.007869981833222,6.195251046269678,572.0974777917289,84.44865352419667,320.66426991240286,168.11886480450482,4662.316850846405,429.2463139602827,39.34765180138021,21.73538651593526,2.8089675198592006,1.9877106619982534,-1.1211764241822522,0.04368391272797499,0.029963309348027604,0.12270669199324567,0.021347356844884677,0.356002692423487
mu,0.07,0.07,0.1,21.36071898653792,9.614859541995003,564.7446287870241,84.12794240657398,328.7856438969744,168.280903341931,4654.195476861833,429.1828145698155,39.89517142891841,21.582507969693175,1.8676886042113745,1.3143893768645312,-0.784450107156227,0.06496852701157274,0.04428224919485966,0.12134097753191328,0.021258726749182805,0.5354211605431124
mu,0.08,0.08,0.1,22.71670469204696,9.660224245016382,563.3886430815152,84.12274534935317,518.9227586945647,209.65454907003152,4464.058362064244,410.56220089760654,65.49089755848492,28.844629145474425,2.8829400410972923,1.7650103750210082,-1.4061540451504062,0.043776659071948505,0.025678162561100944,0.12620548330398537,0.022132339985122033,0.34686812273049716
mu,0.09,0.09,0.1,26.441177464198468,10.155113656556171,559.6641703093636,84.06443887993632,519.6523747568389,209.6555948365651,4463.328746001969,410.56166687279875,65.16007036857607,28.685065313394073,2.46434072222401,1.4396962723822975,-1.2724097278417608,0.050882433620304535,0.028342940186503383,0.12539165321637652,0.022085640251788267,0.4057880434234449
mu,0.1,0.1,0.1,26.536116375432577,10.155533781502621,559.5692313981295,84.06438812713074,536.4700391379762,209.91645228074,4446.511081620832,410.4283540564817,67.51183612459063,28.974975742279923,2.5441490823085857,1.4629688207831963,-1.3345765916682104,0.04946430264413645,0.0270734454410328,0.12584456017911388,0.02218905613065296,0.3930587271609847
mu,0.11,0.11,0.1,26.633656539544376,10.155954222200135,559.4716912340177,84.06433733404849,579.333520829697,212.5819908301184,4403.647599929111,409.0540892429122,73.60277981652443,29.974703970911634,2.763525154994867,1.5417831215314293,-1.48408780844918,0.04597292506292537,0.024328837735344583,0.12704733486008826,0.02244304002611926,0.36185666636418123
mu,0.12,0.12,0.1,44.43210118557691,14.854045300944678,541.6732465879852,83.36254288212186,591.1718717957924,212.7332106980156,4391.809248963014,408.97546603403805,72.91345523777774,29.333370607063898,1.6410084891831798,0.8583758874210075,-0.8662232762943048,0.07515936279343992,0.03691652046390589,0.12333715238563334,0.02218575361454154,0.6093813691955701
mu,0.13,0.13,0.1,51.78755144569476,16.574289036185533,534.3177963278673,83.03763701190626,614.6497345197855,213.11615186187896,4368.331386239021,408.77604695875885,75.18163404376631,29.41982510382217,1.4517317761702433,0.7338885454894148,-0.6928020822699638,0.0842553873160873,0.03975642532341165,0.1223162230802952,0.022189036283226226,0.6888324802244535
mu,0.14,0.14,0.1,55.50942296750406,16.867526528868268,530.5959248060581,82.97856811474905,687.09557944358,216.24281229079196,4295.885541315227,407.1306877210489,84.86495063679095,30.889861442578315,1.5288386385582138,0.7249069157026129,-0.8340793131424709,0.08078850254349823,0.035342952892734744,0.12351258423975862,0.022585864567273087,0.6540912656047598
mu,0.15,0.15,0.1,56.17780652784609,16.880469264636513,529.9275412457159,82.97593611994856,727.7162015458438,216.88958392344355,4255.264919212963,406.7865031403579,90.62581642535825,31.717032854219614,1.6131960648986368,0.7441267828431342,-0.9587699254412012,0.07719741076055604,0.03267180683708945,0.12453455925929266,0.02284651933182588,0.6198874530870083
mu,0.16,0.16,0.1,56.21217067032286,16.880494854370454,529.8931771032392,82.97593091401684,851.0141655667746,246.04074605101832,4131.966955192032,389.8465108658832,109.13606155184816,37.33178490450582,1.9415023517223182,0.8837341039332273,-1.2917439591269455,0.06605315509981624,0.027534518473239903,0.12824235596497224,0.02344490443355479,0.5150650469791573
mu,0.17,0.17,0.1,56.219820443685535,16.880495432616282,529.8855273298766,82.9759307963794,874.5843659491243,246.3719393399216,4108.396754809683,389.63729064032214,112.80059487995709,37.89688163104893,2.0064204045786234,0.9040628663086087,-1.3638377613912038,0.06428175786411887,0.026465917961287024,0.12897623062075048,0.02361202055183554,0.4984000350664367
mu,0.18,0.18,0.1,56.34652224451873,16.88077356722195,529.7588255290433,82.97587421261859,916.8579396463281,248.64611258729235,4066.12318111248,388.1899811263454,119.45373114621857,39.109602223386084,2.1199840981816545,0.9408205119751978,-1.4814872328387843,0.061456109837750905,0.02483460625708408,0.13028597559213706,0.023898581396739758,0.47170165137451575
mu,0.19,0.19,0.1,97.16901734351227,37.54776137997461,488.9363304300499,75.89546648468938,953.9952941845193,249.12002175512313,4028.9858265742887,387.88602129023917,115.7718042365802,36.89368014405809,1.1914477206999357,0.5967623931421667,-0.35339587067050793,0.10185481829506603,0.04750288074244239,0.12135469109996251,0.0221663115110902,0.8393150472540529
mu,0.2,0.2,0.1,103.98623675228694,37.80226533196394,482.1191110212752,75.76902370591772,965.8598975639177,249.24907660800378,4017.1212231948903,387.8031054049237,115.9187112641496,36.76886150588737,1.1147505178044654,0.5378228335605655,-0.22627319535116205,0.10766182239738911,0.04799709361757913,0.1200160722652619,0.022135803999088474,0.8970617048642687
mu,0.21,0.21,0.1,107.04722049931102,37.92599221810483,479.05812727425115,75.70716829896872,982.0774447138552,249.4676644696553,4000.9036760449526,387.66252738135574,117.59147922500881,36.978600488997,1.0985010042905845,0.5203837379452314,-0.19906177399766703,0.10900079324243214,0.0475185061219343,0.11973748084528207,0.022196029112155423,0.9103314390193054
mu,0.22,0.22,0.1,118.15599719522552,38.75890259979097,467.9493505783366,75.28415295954414,1027.1792448180386,251.71737438976936,3955.8018759407696,386.20553359832326,121.5095891084876,37.54375520439541,1.028382748170802,0.4634253347301216,-0.06214847559525468,0.11502958007699667,0.04710003143024097,0.11829443568051516,0.02226147215636735,0.9724005986863483
mu,0.23,0.23,0.1,118.81948622035294,38.764536759183756,467.2858615532092,75.28125203144548,1035.543925360771,251.82566400377758,3947.4371953980367,386.1349319871247,122.58460651445701,37.715505364982526,1.031687734174524,0.4626491186689484,-0.06961532988355755,0.11474113585182556,0.046689181474571184,0.11837702246358116,0.02231111044914583,0.9692855375470001
mu,0.24,0.24,0.1,126.9255606556638,39.461360817016384,459.1797871178984,74.91833700800737,1039.0748994693015,251.83003563782094,3943.906221289506,386.1320809027641,120.97706293377962,37.27665230580046,0.9531339653639833,0.41721130454050814,0.10958114027153293,0.12215246535210304,0.048153193754016194,0.11642766368003654,0.022153632726243398,1.04917045907405
mu,0.25,0.25,0.1,126.93060917614879,39.46136097863822,459.17473859741335,74.91833692287712,1060.5837910360897,252.06761978156024,3922.397329722718,385.9770275668018,124.15705092377183,37.820121083599815,0.9781490196070206,0.42573931601529447,0.05074332627865311,0.11967994443149997,0.04683425865693102,0.1170648203122944,0.02230506296189551,1.0223391118888594
mu,0.26,0.26,0.1,126.93825894951146,39.46136122599602,459.16708882405067,74.91833679258757,1145.0014813915163,256.49481313651745,3837.9796393672914,383.04929393709614,136.98535331376584,40.3501111730964,1.0791494577552896,0.46215424503737496,-0.1780177186515468,0.1108629648192628,0.04247978044625031,0.1196377083698512,0.022882619087370087,0.9266557035390387
mu,0.27,0.27,0.1,130.00704645516862,39.57990236985985,456.0983013183935,74.8557783071453,1145.9839973075527,256.4957161582562,3836.997123451255,383.04868926039705,136.22146113049524,40.17912987270186,1.047800598850383,0.4441543396884845,-0.1101851570505713,0.11344577826620214,0.04286724507293127,0.11886855440437438,0.022834564207416783,0.9543800615280917
mu,0.28,0.28,0.1,131.54265895310232,39.59116214245313,454.5626888204598,74.84982363229796,1194.1987540742125,258.783677114945,3788.782366684595,381.50669615422584,143.27510638016193,41.57754687538538,1.0891911986608274,0.45537948755408314,-0.20435485826748415,0.11015139523829022,0.04085200858517206,0.11997593021375587,0.023156677288626196,0.9181124500725962
mu,0.29,0.29,0.1,167.53390031724336,51.451062430429594,418.57144745631877,67.25135234592803,1203.66376522167,258.8906519792093,3779.3173555371377,381.4341110459641,133.3095998729515,38.235097546638784,0.7957171630369466,0.334369765780944,0.5338993607516269,0.13918662765958553,0.05218613818291985,0.11075318849396522,0.02101413009240397,1.2567279511521205
mu,0.3,0.3,0.1,173.6584690641692,51.632848797888066,412.4468787093929,67.11188525582149,1215.8400536891554,259.0148896822496,3767.1410670696523,381.34975766943523,133.11671270755758,38.14383012227255,0.7665431661635179,0.31652686145414566,0.631548010227602,0.142830028125202,0.052242408722481336,0.10948538198231667,0.020981313627066126,1.3045579742167859
mu,0.31,0.31,0.1,176.72190007880056,51.72350241886405,409.38344769476146,67.04204289176968,1220.9084352668654,259.0347791388578,3762.072685491943,381.3362478812211,132.85753528278985,38.06947685065256,0.7517887439165631,0.30793123474415424,0.6829998718264034,0.14474623565048333,0.052324834219289046,0.10881859068632772,0.02095796101460681,1.3301609103514116
