scan_variable,scan_cut,muIsoCut,egmIsoCut,ACounts,A_Unc,BCounts,B_Unc,CCounts,C_Unc,DCounts,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
egm,0.0,0.25,0.0,0.09235928173958874,0.09235928173958874,2.0950657193394444,1.1484330369380602,1187.5351600978563,255.14529644082972,4379.964287657982,393.21006012552937,0.5680329886346268,0.3383024294307744,6.150253422674097,7.158381321383824,-1.3564196496322385,7.77739344845824e-05,7.954877325302639e-05,0.00047832940675863377,0.0002656945841827192,0.16259492597708367
egm,0.01,0.25,0.01,17.45361099369855,9.090993930452925,18.442898557990457,8.64424707110811,1170.173908385897,254.9833026993577,4363.616454819332,393.11670948324803,4.945759763952916,2.5948993642164746,0.28336599032363746,0.20949577324526947,1.3230106051084316,0.014915399214270245,0.008421361458180317,0.004226516869424092,0.0020172439873548226,3.529005011708998
egm,0.02,0.25,0.02,22.073050866880777,9.638843609494037,82.02100164219202,34.7524370895182,1165.5544685127147,254.96318071436806,4300.038351735129,391.6729993230346,22.232347052758175,10.792897405280407,1.0072167724723733,0.6576743096079077,-0.01100837771366944,0.018937811542215358,0.009249325729567265,0.01907448141924021,0.008266532767758579,0.9928349361630878
egm,0.03,0.25,0.03,31.927143931891933,11.020570292813108,146.88258562160195,38.0878923165406,1155.7003754477037,254.90719459547816,4235.17676775572,391.3627252833953,40.08150513150103,14.138548948693835,1.255405282007193,0.6195871472439787,-0.454883050424977,0.027625796971402525,0.01131637466048144,0.03468157143755705,0.0095472031865765,0.79655551424888
egm,0.04,0.25,0.04,55.46934029733481,16.869557944096844,198.70514907257473,40.93185408523125,1132.1581790822609,254.58701624569656,4183.354204304747,391.07550882599145,53.77638343814675,17.152748853029305,0.9694794124084904,0.42726406642315384,0.07036911487956028,0.04899433782503681,0.01853109219468707,0.04749900184595976,0.010744888331137549,1.0314814189975288
egm,0.05,0.25,0.05,60.6105511697947,17.183435874462404,249.7342520063193,43.75920379828039,1127.0169682098008,254.56602357279345,4132.325101371003,390.7692443953379,68.11050259838574,20.508548687307137,1.1237400301406373,0.4647461841722971,-0.280311589870954,0.05377962610986323,0.01949431084971005,0.06043431866564992,0.012033181415378342,0.8898855368486328
egm,0.06,0.25,0.06,65.06724730292477,17.478998160049393,306.7819680292375,55.42534421071106,1122.560272076671,254.54590047658752,4075.2773853480853,389.2858865942702,84.50498381712059,25.795905128419992,1.298733038816014,0.5280990702365246,-0.6238046068048219,0.05796325499971076,0.02037634467314595,0.07527879430544188,0.015384399417128629,0.7699811817459012
egm,0.07,0.25,0.07,65.20636407843227,17.479267764661962,330.0263212676359,56.49980265194191,1122.4211553011633,254.54588196340367,4052.0330321096867,389.1313950102901,91.41794300826555,27.419536480549905,1.4019788451677073,0.5639688941328711,-0.8060882865651962,0.058094382639229905,0.020398247318621724,0.08144709548327844,0.01598754121472719,0.7132775244410897
egm,0.08,0.25,0.08,72.59996358813493,18.96331772145259,387.58216740594867,66.01026680710503,1115.0275557914606,254.43962625171233,3994.4771859713737,387.6314163718127,108.19057830866498,32.54629194375535,1.4902290987697777,0.5937059264648745,-0.9448533555668669,0.06511046584548537,0.022582935639878357,0.09702951083739805,0.019019671064065775,0.6710377624658689
egm,0.09,0.25,0.09,109.04842797108638,37.95093385732231,438.16654588412894,74.18411634851078,1078.5790914085092,252.3070697492897,3943.8928074931937,386.150472178856,119.83015208917395,36.53780385499271,1.0988709724540575,0.508445337754438,-0.20466070252165142,0.1011037844509676,0.042395938692661866,0.11110001393842019,0.021728788545243106,0.9100249483947569
