scan_variable,scan_cut,muIsoCut,egmIsoCut,ACounts,A_Unc,BCounts,B_Unc,CCounts,C_Unc,DCounts,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
egm,0.0,0.25,0.0,0.09235928300732338,0.09235928173958874,3.448450168167593,1.4809794480424832,3297.4914945658047,908.9768635746237,10359.410209948015,1087.527462311305,1.097672055504376,0.57189182705166,11.884804859489208,13.401114453402245,-1.7353871287768763,2.8008952611259044e-05,2.9053625871994874e-05,0.00033288093610349444,0.00014716900160795335,0.084141053372161
egm,0.01,0.25,0.01,17.453610994966287,9.090993930452925,26.64771559698071,9.735253045744226,3280.130242853846,908.9314060332351,10336.2109445192,1087.484896184553,8.456481616116092,3.9783430196295844,0.48451186511232464,0.3400651034858706,0.9066601645904945,0.005321011576595489,0.0031393387437124473,0.002578093243260551,0.0009801386407284408,2.0639329436610794
egm,0.02,0.25,0.02,28.19501836473215,10.566293064617092,94.00271945322719,35.17941641901297,3269.3888354840797,908.915452886059,10268.855940662956,1086.9593291571723,29.928498681975064,14.307789723647549,1.0614817942240196,0.6447922997066354,-0.09746048001475578,0.008623941593829256,0.004024078038445621,0.00915415699630103,0.0035602320137884114,0.9420792758212448
egm,0.03,0.25,0.03,41.112542449445634,12.229547827560522,176.27882888695802,39.53715120599398,3256.471311399366,908.8945952111998,10186.579831229226,1086.8095455303596,56.35325679356953,21.054323278044304,1.3707071719747024,0.6546075592877493,-0.6259422132265244,0.012624874754931839,0.005149720614472103,0.01730500637186743,0.004298047425697752,0.729550425098714
egm,0.04,0.25,0.04,64.65734107836201,17.683067112035694,271.4669342198667,53.73794612227098,3232.9265127704502,908.8048504391405,10091.391725896317,1086.1999851445187,86.96844526684623,31.33201864297004,1.3450668372125616,0.60839532606282,-0.6201391048752695,0.019999632167003394,0.007843795685501052,0.02690084198428587,0.006061430641946147,0.7434574790888026
egm,0.05,0.25,0.05,185.73241120711648,117.32024150290452,457.0255017161095,129.1737510285094,3111.8514426416955,901.3739002089517,9905.833158400073,1079.8297627990337,143.57151428835735,60.175222199539476,0.7730019405619836,0.5859886527002286,0.3197579046454058,0.05968550061935012,0.04147604610214049,0.04613700780217111,0.013976430785542204,1.2936578131653664
egm,0.06,0.25,0.06,193.25009108727065,117.40380571355698,529.071496886543,133.8531452063987,3104.333762761541,901.3630197917877,9833.787163229641,1079.2597046585902,167.01749625423827,66.88191572335136,0.8642557181451165,0.6288568387179245,0.19414597724974025,0.062251711914945634,0.04191674398771286,0.05380139798681424,0.014837118380749328,1.1570649508067135
egm,0.07,0.25,0.07,196.45019161360543,117.4437424575525,565.3654591588601,134.44273167384216,3101.133662235207,901.3578170747516,9797.493200957324,1079.1864187810502,178.95127058534632,70.03390655075759,0.910924388087758,0.6508877454171574,0.12797237801945865,0.06334786339780332,0.04210990160726469,0.05770511370231087,0.015122781558301062,1.0977859557577907
egm,0.08,0.25,0.08,203.84379112711125,117.67376623467071,638.6882900709751,138.97527380778007,3093.740062721701,901.3278159384328,9724.170370045209,1078.6120933178179,203.198368127173,77.24998601237982,0.9968337372633745,0.6890241352742273,0.004585122618280529,0.06588911382159908,0.042605557366511594,0.06568049157575648,0.016041499898967547,1.0031763197996466
egm,0.09,0.25,0.09,243.35584153956552,122.21763722868042,737.0340439960885,146.98510340617736,3054.2280123092464,900.7229297594437,9625.824616120095,1077.5497918695303,233.85736941732927,87.27450880345461,0.9609687934255239,0.6012759382809615,0.06324730919804733,0.07967834770645318,0.04640501036325083,0.07656840565760968,0.017511051831834625,1.0406165182901967
egm,0.1,0.25,0.1,264.31503939621297,122.73574447888785,776.119556103685,147.6462961441029,3033.268814452599,900.652476858533,9586.739104012499,1077.459394045233,245.56621602759256,90.88799230536291,0.9290663769589154,0.5516890540903951,0.12276259957975741,0.08713867961086487,0.04802826950737974,0.08095761735904992,0.017888077455397708,1.0763493597446392
