region,n_rows,weighted_yield,weighted_Pearson,weighted_Spearman_like,muIsoCut,egmIsoCut,ACounts,A_Unc,BCounts,B_Unc,CCounts,C_Unc,DCounts,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
inclusive_mJJ,6177,13660.618255656558,0.053687989167497514,0.024349725019789704,0.25,0.1,264.3000092193646,122.73418052192281,776.0446384774705,147.63566589879414,3033.721065381972,901.0285837295779,9586.552542577754,1077.7595205573034,245.58390067434857,90.9133298416987,0.9291861222392847,0.5518193666918355,0.12253730008227952,0.0871207350719592,0.04802362427318192,0.08095137798814982,0.017888403405307195,1.0762106493692114
low_mJJ_lt_150,1073,8091.531787124191,0.16755677737808833,0.134060236696442,0.25,0.1,137.3694000432158,116.21738277082969,316.8698998800571,127.21451425875367,1973.1372743458826,865.051688487681,5664.155212855036,1006.273977772756,110.38324111468698,68.48646741599602,0.803550434667116,0.8430390709272579,0.20005188715223493,0.06961978866308494,0.06633850781753381,0.05594301144165466,0.02456031408344723,1.244476957335312
high_mJJ_ge_150,5104,5569.08646853237,-0.0697796913583234,-0.07438275778877734,0.25,0.1,126.93060917614879,39.46136097863822,459.17473859741335,74.91833692287712,1060.5837910360897,252.06761978156024,3922.397329722718,385.9770275668018,124.15705092377183,37.820121083599815,0.9781490196070206,0.42573931601529447,0.05074332627865311,0.11967994443149997,0.04683425865693102,0.1170648203122944,0.02230506296189551,1.0223391118888594
