scan_variable,scan_cut,muIsoCut,egmIsoCut,ACounts,A_Unc,BCounts,B_Unc,CCounts,C_Unc,DCounts,D_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AC,tf_AC_unc,tf_BD,tf_BD_unc,tf_ratio
egm,0.0,0.25,0.0,1.267734636537709e-09,1.267734636537709e-09,1.353384448828149,0.9350944792872226,2109.9563344679495,872.4332732181192,5979.445922290033,1013.9535639748719,0.47756633773212964,0.3929732458818066,376708440.3691958,487849640.3603955,-1.2152642488237768,6.008345366338509e-13,6.501710039892353e-13,0.0002263394412152864,0.00016102582223448015,2.654572854858104e-09
egm,0.01,0.25,0.01,1.267734636537709e-09,1.267734636537709e-09,8.204817038990251,4.477962085403482,2109.9563344679495,872.4332732181192,5972.594489699872,1013.9441070170444,2.898540276662577,2.0447697191006178,2286393534.6743674,2798060921.580972,-1.4175387322684685,6.008345366338509e-13,6.501710039892353e-13,0.001373744199968706,0.0007851858028786605,4.373700261282544e-10
egm,0.02,0.25,0.02,6.121967497851371,4.3288847292450745,11.981717811035171,5.46438065304741,2103.8343669713663,872.42253350947,5968.817588927826,1013.9392707865243,4.223206578295976,2.700239884682711,0.6898446585641292,0.6576389460053985,0.37215915650776393,0.00290990944627662,0.00238534717386212,0.002007385488419229,0.0009769335853133838,1.449601714799736
egm,0.03,0.25,0.03,9.185398517553697,5.301779935809817,29.39624326535607,10.606544412259778,2100.770935951664,872.4171636021347,5951.4030634735045,1013.8985183511517,10.376506652194722,5.9759177985416985,1.1296740835321153,0.9211010454333612,-0.14909779196448403,0.004372394134152778,0.003109066929352083,0.004939380336340236,0.001970865337128106,0.8852110662513674
egm,0.04,0.25,0.04,9.188000781027213,5.301780574440773,72.76178514729193,34.81881925892142,2100.76833368819,872.4171635982536,5908.037521591569,1013.3559858827717,25.872492106122696,16.982954729927716,2.8159000769294846,2.4610401073437376,-0.9377904080818052,0.004373638270192508,0.003109372806583926,0.012315728341496822,0.006260609669521461,0.355126237679009
egm,0.05,0.25,0.05,125.12186003732168,116.05502400951059,207.29124970979007,121.53596191134497,1984.834474431895,864.6797370241964,5773.508057029072,1006.6437871766327,71.26322759195727,53.515735542507564,0.5695505770990033,0.6797155580504849,0.421430822179551,0.06303893934184836,0.06459901239592145,0.035903864281858794,0.02196171671825282,1.7557703217394387
egm,0.06,0.25,0.06,128.18284378434578,116.09538414315887,222.2895288573055,121.83881032236589,1981.773490684871,864.6743190350537,5758.509777881556,1006.6071769057979,76.50026005656956,55.23661472459967,0.5968057643133058,0.6912762184393283,0.40199255772751064,0.06468087517915468,0.06502485343105313,0.038601919147748937,0.022207993416442688,1.6755870331624827
egm,0.07,0.25,0.07,131.2438275351731,116.13573025063032,235.3391378912242,121.99434577150015,1978.7125069340432,864.668901011962,5745.460168847638,1006.5883388450384,81.04981704360844,56.755996872594494,0.617551457967707,0.6968725254171865,0.3883111877387268,0.06632789102775297,0.06545922298742753,0.04096088580811204,0.022413074294508138,1.6192982578178805
egm,0.08,0.25,0.08,131.24382753897626,116.13573025063032,251.10612266502645,122.29787980992252,1978.7125069302404,864.668901011962,5729.693184073835,1006.5515053354337,86.71787642401694,58.75237277674141,0.6607387032983613,0.7363736470120881,0.3421092724370748,0.06632789102980248,0.0654592229879499,0.043825404711546695,0.022690627215012714,1.5134575816553053
egm,0.09,0.25,0.09,134.30741356847912,116.17606237568253,298.8674981119596,126.89104580274868,1975.6489209007373,864.6634829510051,5681.931808626902,1005.9827865297273,103.91839783094586,65.98248498827601,0.7737353811668866,0.8302372805927798,0.22745246141530592,0.06798141721821999,0.065902492857505,0.052599627763604585,0.02419632408123489,1.2924315267732478
