ACounts,A_Unc,QCD_ACounts,QCDA_Unc,TTJets_ACounts,TTJetsA_Unc,DY_ACounts,DYA_Unc,BCounts,B_Unc,QCD_BCounts,QCDB_Unc,TTJets_BCounts,TTJetsB_Unc,DY_BCounts,DYB_Unc,CCounts,C_Unc,QCD_CCounts,QCDC_Unc,TTJets_CCounts,TTJetsC_Unc,DY_CCounts,DYC_Unc,DCounts,D_Unc,QCD_DCounts,QCDD_Unc,TTJets_DCounts,TTJetsD_Unc,DY_DCounts,DYD_Unc,prediction,predictionUnc,closure,closureUnc,closureSig,transfer_A_over_C,transfer_A_over_C_Unc,transfer_B_over_D,transfer_B_over_D_Unc,transfer_difference,transfer_pull,status,scan_variable,scan_cut,mJIsoCut,egmIsoCut,mJJCut,dPhiCut,pixelCut,fixed_isolation_variable,fixed_isolation_value
0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0,0.0,0.0,0.0,3.1533214053805034,3.0623761595689625,0.09233765835641969,0.09233765835641969,3.0609837470240837,3.0609837470240837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21383695343421866,0.13380167173007768,0.21383695343421866,0.13380167173007768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,14.746382020217755,17.03620655804302,,,invalid:C,isolation,0.0,0.0,0.2,150.0,2.0,3,egm_isolation,0.2
9.883405671696007,5.3428938425977,0.7004544204818788,0.6615512940291325,9.182951241072251,5.301779370988272,1.0141877092303648e-08,4.008928920145659e-09,10.065479757082644,5.344488781263684,0.8825284843170265,0.6743113779379521,9.182951241072251,5.301779370988272,3.1693365913448905e-08,6.3386731826897805e-09,6.187632575383774,4.329083248051481,0.06566507626466815,0.041458044680913984,6.121967494048167,4.3288847292450745,5.070938546151824e-09,2.5354692730759125e-09,7.771751144297259,7.354823763887241,7.771751129084443,7.354823763887241,0.0,0.0,1.5212815638455474e-08,4.391561601997208e-09,8.013829737393396,10.346860253503685,0.18916312821770365,1.1349530466709195,0.16054870544947997,1.597283864432272,1.4122455703808259,1.295136651984601,1.4053970977496237,0.30214721244767095,0.15165138870923026,valid,isolation,0.007575757575757576,0.007575757575757576,0.2,150.0,2.0,3,egm_isolation,0.2
11.366093189447845,5.424971266487821,2.183141923020901,1.1495428411249748,9.182951241072251,5.301779370988272,2.5354692730759122e-08,5.946202518491657e-09,169.45567627654026,120.70137030680151,151.08977370186193,120.46826580034407,18.365902482144502,7.497848291161511,9.253384309984021e-08,2.2490335259266885e-08,6.506505488628501,4.332138406936643,0.3845379819029876,0.16786952601457958,6.121967494048167,4.3288847292450745,1.2677346365379561e-08,4.008928920145659e-09,10.091075985788063,7.4447494195803285,10.091075952826962,7.4447494195803285,0.0,0.0,3.2961100549986856e-08,6.708221153404579e-09,109.26132052968174,133.5918090757432,-8.612917887310545,12.617335352942792,-0.7321901723481569,1.746881365014216,1.431080120637624,16.792627120754616,17.22074544639321,-15.0457457557404,-0.8706975373219736,valid,isolation,0.015151515151515152,0.015151515151515152,0.2,150.0,2.0,3,egm_isolation,0.2
11.473884391209637,5.425760712293774,2.2909331133730815,1.153262679719515,9.182951241072251,5.301779370988272,3.676430445960073e-08,7.282581038778407e-09,210.1294845819907,121.46106510132287,167.27571194620305,120.91987278588311,42.853772458337176,11.453152447847641,1.7745049301302213e-07,3.7202849329082227e-08,13.969438967290024,8.534657751744673,7.847471459296775,7.355347710361778,6.121967494048167,4.3288847292450745,1.3945081001917517e-08,4.204600123133978e-09,148.43514477219426,116.57451360176461,136.19120973719174,116.41365356129761,12.243934988096335,6.121967494048167,4.690618155190437e-08,7.917000267679857e-09,19.77557952734994,22.756232834160418,-0.7235296132581213,2.1442400560566752,-0.35486241461474355,0.8213561344930298,0.6345618742249952,1.415631620829957,1.380442743327854,-0.5942754863369273,-0.3911492867467617,valid,isolation,0.022727272727272728,0.022727272727272728,0.2,150.0,2.0,3,egm_isolation,0.2
138.04146661698536,116.33479055303349,125.79753158071512,116.1735985799699,12.243934988096335,6.121967494048167,4.817391618844233e-08,8.215859453792828e-09,266.9692433027361,126.33053531121918,214.93251938277325,125.69853056629947,52.03672369940942,12.620759307279226,2.2055347065531264e-07,3.793013493117902e-08,14.035258030092816,8.53475849021412,7.913290520831832,7.355464600362836,6.121967494048167,4.3288847292450745,1.5212815638455474e-08,4.391561601997208e-09,148.6769795763434,116.57459069495998,136.43304453119902,116.41373076102005,12.243934988096335,6.121967494048167,5.7048058644208024e-08,8.874142455765693e-09,25.20216799217737,27.70496756558309,0.8174304532557295,0.2528909067438475,0.943565123236143,9.83533514816845,10.221228762581895,1.7956326800791067,1.6444520799644338,8.039702468089343,0.7765826420518986,valid,isolation,0.030303030303030304,0.030303030303030304,0.2,150.0,2.0,3,egm_isolation,0.2
138.13380428041273,116.3348271983129,125.88986923907154,116.17363527609497,12.243934988096335,6.121967494048167,5.324485473459416e-08,8.598194636037794e-09,275.84744766204864,126.41162550830289,217.68875619733896,125.70551402050765,58.15869119345759,13.342518821098452,2.712520707494003e-07,4.345411404191713e-08,14.132798199275555,8.535258769508154,8.010830684943635,7.356045083016732,6.121967494048167,4.3288847292450745,2.0283754184607296e-08,5.070938546151825e-09,271.4631191571818,164.46794710745314,253.09721660657962,164.29695035740235,18.365902482144502,7.497848291161511,6.845767037304963e-08,9.654779350317923e-09,14.361053257240675,13.936927054985476,0.8960352005647537,0.1335892670130581,1.0563818595294452,9.773988302436345,10.12925565605188,1.016150733545238,0.7719210601172202,8.757837568891107,0.8621084747395675,valid,isolation,0.03787878787878788,0.03787878787878788,0.2,150.0,2.0,3,egm_isolation,0.2
138.826454944797,116.33670808939198,126.58251990092035,116.1755187768844,12.243934988096335,6.121967494048167,5.5780324007670067e-08,8.783123203994417e-09,290.7759440296378,126.70274521154538,226.49528505313165,125.92388015246085,64.28065868750576,14.02718972176742,2.890003556609317e-07,4.371224248067618e-08,14.230338365922828,8.535759019480906,8.108370849055436,7.356625519867003,6.121967494048167,4.3288847292450745,2.281922345768321e-08,5.378542549446311e-09,272.2531977874298,164.46928537417597,253.88729523429217,164.29829001695316,18.365902482144502,7.497848291161511,7.099313964612554e-08,9.819830269443634e-09,15.198499433028262,14.53508401209943,0.8905215908662957,0.13920776535366675,1.054475376274464,9.755667881885548,10.053733394454632,1.0680349997456051,0.7955328594218989,8.687632882139944,0.8614274765785848,valid,isolation,0.045454545454545456,0.045454545454545456,0.2,150.0,2.0,3,egm_isolation,0.2
139.4974397643554,116.33858537576938,127.25350471414006,116.17739866788634,12.243934988096335,6.121967494048167,6.211899719035985e-08,9.229247464443417e-09,293.9367612471976,126.73974834529707,226.5951184995804,125.92391408163594,67.34164243452985,14.357286407605137,3.130873137551529e-07,4.406014087306478e-08,14.264548524396938,8.535809580546019,8.142581006261812,7.356684184892674,6.121967494048167,4.3288847292450745,2.4086958094221165e-08,5.525927167895217e-09,279.73259461276825,164.63359198346478,261.3666920545597,164.46276745932704,18.365902482144502,7.497848291161511,7.606407819227737e-08,1.014187709230365e-08,14.988868922189395,14.14340429715796,0.8925509389454804,0.13531322966404907,1.062403817054054,9.779309841161126,10.037989863045144,1.0507776601939864,0.7666320280136805,8.72853218096714,0.8670248760887198,valid,isolation,0.05303030303030303,0.05303030303030303,0.2,150.0,2.0,3,egm_isolation,0.2
145.70933943617501,116.41910602399659,127.34343689191151,116.17740967343559,18.365902482144502,7.497848291161511,6.211899719035985e-08,9.229247464443417e-09,307.4485431767907,127.02664410593125,233.98493289963955,126.13840571699733,73.46360992857801,14.995696582323022,3.4857309821078507e-07,4.8698820229248574e-08,14.272044312489236,8.535810678552753,8.15007679435411,7.356685458887311,6.121967494048167,4.3288847292450745,2.4086958094221165e-08,5.525927167895217e-09,279.7506494014449,164.63359212495538,261.3847468394331,164.46276760096464,18.365902482144502,7.497848291161511,7.986728210189123e-08,1.0682121920112113e-08,15.685108297041735,14.669867048484178,0.8923534458550457,0.13241438492459448,1.1081006098218618,10.209423138398408,10.189344009416839,1.0990092206563533,0.7902465374379354,9.110413917742054,0.8914349647476744,valid,isolation,0.06060606060606061,0.06060606060606061,0.2,150.0,2.0,3,egm_isolation,0.2
160.41763869846207,116.88257796252206,142.05173615419858,116.64184198720362,18.365902482144502,7.497848291161511,6.211899719035985e-08,9.229247464443417e-09,318.14723445685047,127.27616414226078,241.62264042506888,126.35260749695301,76.52459367560209,15.304918735120419,3.561795060300128e-07,4.8797725340150213e-08,15.02771701070269,8.56185545427356,8.905749492567564,7.386888778151645,6.121967494048167,4.3288847292450745,2.4086958094221165e-08,5.525927167895217e-09,282.81668167656034,164.66204568819543,261.3897953599181,164.46276763974433,21.426886229168588,8.098601761836372,8.747368992111896e-08,1.1124326288284061e-08,16.905037492176604,15.341976975796385,0.8946185866508539,0.12264628047980594,1.2173931741820732,10.674784372384252,9.873336901553014,1.1249238643592299,0.7946659072850148,9.549860508025022,0.9641196344827637,valid,isolation,0.06818181818181818,0.06818181818181818,0.2,150.0,2.0,3,egm_isolation,0.2
