ACounts,A_Unc,QCD_ACounts,QCDA_Unc,TTJets_ACounts,TTJetsA_Unc,DY_ACounts,DYA_Unc,BCounts,B_Unc,QCD_BCounts,QCDB_Unc,TTJets_BCounts,TTJetsB_Unc,DY_BCounts,DYB_Unc,CCounts,C_Unc,QCD_CCounts,QCDC_Unc,TTJets_CCounts,TTJetsC_Unc,DY_CCounts,DYC_Unc,DCounts,D_Unc,QCD_DCounts,QCDD_Unc,TTJets_DCounts,TTJetsD_Unc,DY_DCounts,DYD_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AB,tf_AB_Unc,tf_CD,tf_CD_Unc,tf_AC,tf_AC_Unc,tf_BD,tf_BD_Unc,tf_closure_ratio,tf_closure_ratio_Unc,tf_AC_minus_BD,tf_AC_minus_BD_pull,status,muIsoCut,egmIsoCut,mu_idx,egm_idx,dPhiCut,mJJCut,pixelCut,valid_neighbor_count,closure_compatible_neighbor_count,closure_central_good_neighbor_count,target_a_neighbor_count,closure_compatible_neighbor_fraction,target_a_neighbor_fraction,closure_local_mean,closure_local_std,closureSignificance_local_mean,closureSignificance_local_std,tf_AC_local_mean,tf_AC_local_std,tf_BD_local_mean,tf_BD_local_std,ACounts_local_mean,ACounts_local_std,closure_compatible,closure_central_good,stability_score
107.43994098462828,36.63143651642711,55.40321727507698,34.388640213953714,52.03672369940942,12.620759307279226,1.0141877092303648e-08,4.008928920145659e-09,71.35599722179788,15.156297406197272,34.62419225750888,10.829491819589457,36.731804964289005,10.603558741976544,0.0,0.0,3238.892146631358,375.50005167227005,3085.842959030421,374.87572304818593,153.04918735120418,21.64442364622537,2.497329380305468e-07,2.6614210861260834e-08,2151.3983836945854,277.69487332506066,2077.9347737596686,277.2896892331779,73.46360992857801,14.995696582323022,6.3386731826897805e-09,2.8347408247298585e-09,107.42518948063845,29.46213687499136,0.00013730000086220606,0.4375043168979697,0.00031379931389671653,1.5056890123848967,0.6048317516788116,1.5054822812821982,0.26119831216306927,0.03317181805401339,0.011945835382663384,0.033167263563365974,0.008243661752486078,1.000137318854741,0.4376244803312373,4.554490647415421e-06,0.0003137962892379273,valid,0.71,0.03,71,3,2.0,150.0,3,9,9,6,9,1.0,1.0,0.09238147447199342,0.10392073995019516,0.17782659589425698,0.1792001713214761,0.03427056103373584,0.011276542584631007,0.03195803281368861,0.01252107236747405,110.47798753184162,35.21967740277157,True,True,0.10647085306336747
103.85708768004329,37.80214105129289,76.30823391752676,36.66981421504522,27.54885372321675,9.182951241072251,3.929977373267664e-08,7.282581038778407e-09,443.2945196550411,74.24114472075786,299.42828354364144,71.2135897070908,143.86623611013192,20.985047307038485,1.267734636537956e-09,1.2677346365379562e-09,965.9890466361613,249.24909545695226,938.4401927012436,249.07987673156774,27.54885372321675,9.182951241072251,2.117008989344081e-07,2.569244415207151e-08,4055.945814561125,388.09850031351806,3939.6284321602648,387.6395236925913,116.31738238691518,18.869171073015707,1.3945081001917517e-08,4.204600123133978e-09,105.57775424002888,34.01190642489657,-0.016567637302583593,0.4941229152922603,-0.033837500480896204,0.23428461908543752,0.09386930847048801,0.238166161680019,0.06554229312520296,0.10751373221228765,0.04796846455516271,0.10929498073262793,0.02108119842185224,0.9837023758236637,0.478148101400981,-0.001781248520340284,-0.03399557974584042,valid,0.2,0.09,20,9,2.0,150.0,3,9,9,4,9,1.0,1.0,-0.21055945090939113,0.19200952565692633,-0.3912737679519441,0.3419330876476384,0.09268975002407992,0.019232751378357126,0.10866011645780972,0.010011733085517227,90.50109433699517,17.69728919303374,True,True,0.11223326515355697
107.34760332627187,36.631320137470865,55.31087961672056,34.38851624483969,52.03672369940942,12.620759307279226,1.0141877092303648e-08,4.008928920145659e-09,71.4483348801543,15.156578680832059,34.71652991586531,10.829885470941312,36.731804964289005,10.603558741976544,0.0,0.0,3226.14730804998,375.4137945848357,3076.159104196067,374.80182191540575,149.98820360418011,21.426886229168588,2.497329380305468e-07,2.6614210861260834e-08,2164.143222275964,277.81147260743876,2087.618628594023,277.38957041465176,76.52459367560209,15.304918735120419,6.3386731826897805e-09,2.8347408247298585e-09,106.50998088557671,29.172951325981412,0.007802898385623869,0.43415332071937257,0.01788699700089073,1.5024507359945354,0.6036888792958778,1.4907272655721642,0.2582873595789217,0.033274241091972113,0.01199654905742781,0.03301460556987271,0.0081859904209098,1.0078642624262135,0.44100876293104235,0.0002596355220994065,0.017877112593861065,valid,0.7000000000000001,0.03,70,3,2.0,150.0,3,9,9,4,9,1.0,1.0,0.12360281454711321,0.10980231137778566,0.25145886969149117,0.1901963013095088,0.03476673981174915,0.011351271148425372,0.031344403228747764,0.012422114851518468,110.11562457839685,34.78792032802991,True,True,0.11493249151487431
107.44254223750596,36.63143660878653,55.40581852795467,34.388640312336726,52.03672369940942,12.620759307279226,1.0141877092303648e-08,4.008928920145659e-09,71.3533959689202,15.156297182972681,34.62159100463119,10.829491507177908,36.731804964289005,10.603558741976544,0.0,0.0,3250.1090224881664,375.5851022318503,3093.998851140205,374.94842088216967,156.11017109822828,21.859796350305405,2.497329380305468e-07,2.6614210861260834e-08,2140.1815078377776,277.5798307845681,2069.778881649885,277.19138003173896,70.40262618155393,14.679962346325988,6.3386731826897805e-09,2.8347408247298585e-09,108.35824680031598,29.73341422841858,-0.008522737304426542,0.44137688947422543,-0.019408806918149488,1.5057803595543695,0.6048640599546268,1.5186137299970164,0.2638028066192864,0.03305813481765969,0.011900663357374988,0.03333988061648492,0.008297586939530577,0.9915492859117823,0.43394851041819044,-0.0002817457988252281,-0.019420322115742777,valid,0.72,0.03,72,3,2.0,150.0,3,9,9,6,9,1.0,1.0,0.08608817378971864,0.10435383855638601,0.16293252814445214,0.18151677348765197,0.03417593980521772,0.011245862094496925,0.03209045656280804,0.01257161320571769,110.49937409576893,35.231754721755365,True,True,0.11527273394246154
107.44254223750596,36.63143660878653,55.40581852795467,34.388640312336726,52.03672369940942,12.620759307279226,1.0141877092303648e-08,4.008928920145659e-09,71.3533959689202,15.156297182972681,34.62159100463119,10.829491507177908,36.731804964289005,10.603558741976544,0.0,0.0,3254.7424301432075,375.59876325423994,3095.571275048222,374.94961080142247,159.17115484525235,22.07306770651445,2.497329380305468e-07,2.6614210861260834e-08,2135.5481001827366,277.5613455054294,2068.206457741868,277.1897704566212,67.34164243452985,14.357286407605137,6.3386731826897805e-09,2.8347408247298585e-09,108.74815948888326,29.847102561129535,-0.01215177176738047,0.44300420644070326,-0.027631188000834278,1.5057803595543695,0.6048640599546268,1.5240782588154782,0.26490028971822815,0.033011073700470524,0.011882023969878806,0.03341221673387481,0.008320342630698014,0.9879941209348858,0.43243075171282835,-0.0004011430334042859,-0.027654477152419532,valid,0.73,0.03,73,3,2.0,150.0,3,9,9,6,9,1.0,1.0,0.08139239045993125,0.10477766359645545,0.1518445868946531,0.18344312834765772,0.034106054994300306,0.01122242983115269,0.032189789253619566,0.01261054291863213,110.50672154377736,35.23557689072129,True,True,0.11913099626240443
106.91807142706737,37.925868342878964,76.30823391752676,36.66981421504522,30.609837470240837,9.679680521352758,3.929977373267664e-08,7.282581038778407e-09,440.233535908017,74.17801526024382,299.42828354364144,71.2135897070908,140.80525236310785,20.760601845300574,1.267734636537956e-09,1.2677346365379562e-09,982.2065937860989,249.467683302088,954.6577398499135,249.2986129496411,27.54885372321675,9.182951241072251,2.1296863357094605e-07,2.5723701864544917e-08,4039.7282674111866,387.95802932740014,3923.410885011594,387.4988863243572,116.31738238691518,18.869171073015707,1.2677346365379561e-08,4.008928920145659e-09,107.03697208122426,34.20555026108424,-0.0011120725670590303,0.477971008757535,-0.0023280799161674408,0.2428667121111986,0.09537483594917391,0.24313679751918926,0.06602058858734301,0.10885497216520577,0.04749058540628644,0.10897602679353867,0.021135191280223592,0.998889162764557,0.4769097025663566,-0.00012105462833289504,-0.0023288126223003722,valid,0.21,0.09,21,9,2.0,150.0,3,9,9,5,9,1.0,1.0,-0.17522085641379817,0.1760108982460081,-0.341129683601458,0.3364094048189803,0.09494000787261257,0.019562064590377883,0.10821536663705708,0.009691814700116087,95.18256923162652,18.47330714982675,True,True,0.1217300358501912
107.47170387422734,36.631448216315476,55.43498016467605,34.38865267689805,52.03672369940942,12.620759307279226,1.0141877092303648e-08,4.008928920145659e-09,71.32423433219881,15.156269128566215,34.592429367909816,10.829452243903297,36.731804964289005,10.603558741976544,0.0,0.0,3259.3784390511278,375.6124237887855,3097.146300209118,374.9508007259223,162.23213859227644,22.28429804763697,2.497329380305468e-07,2.6614210861260834e-08,2130.9120912748167,277.5428589829194,2066.631432580972,277.1881608599513,64.28065868750576,14.02718972176742,6.3386731826897805e-09,2.8347408247298585e-09,109.09538338821027,29.95654271940091,-0.015107972195947506,0.4443075643404033,-0.03431217887646069,1.5068048732730668,0.6052263389207426,1.5295696394031941,0.26600621138939384,0.03297306706904356,0.011863767628309855,0.03347122324953778,0.008342295461433499,0.9851168815438766,0.4311806174495147,-0.0004981561804942233,-0.03434801304109124,valid,0.74,0.03,74,3,2.0,150.0,3,9,9,6,9,1.0,1.0,0.08241858028787158,0.10655715633767299,0.15374725873099798,0.1870677087650581,0.034109938870791216,0.011202121218172767,0.03217789522072481,0.012645544059664553,110.73485742469163,35.24115309416443,True,True,0.12292437252259275
107.04722049931104,37.925992218104824,76.43738298596723,36.66994233336469,30.609837470240837,9.679680521352758,4.310297764229051e-08,7.606407819227737e-09,479.05812727425115,75.70716829896871,335.1918911628515,72.74065659154948,143.86623611013192,20.985047307038485,1.267734636537956e-09,1.2677346365379562e-09,982.0774447138552,249.4676644696553,954.528590781473,249.29859410443655,27.54885372321675,9.182951241072251,2.091654296613322e-07,2.562981436315834e-08,4000.903676044953,387.66252738135574,3887.6472773923847,387.21513289154547,113.2563986398911,18.61923724224994,1.2677346365379561e-08,4.008928920145659e-09,117.5914792250088,36.978600488996996,-0.09850100429058428,0.5203837379452312,-0.19906177399766656,0.223453510972435,0.0866865677210808,0.24546390621547692,0.06673492349226574,0.10900079324243216,0.04751850612193429,0.11973748084528206,0.022196029112155416,0.9103314390193056,0.4312437359234447,-0.010736687602849904,-0.2047155833126017,valid,0.21,0.1,21,10,2.0,150.0,3,9,9,7,9,1.0,1.0,-0.06390908805863457,0.05411503208568653,-0.13025134460618118,0.1070008766168525,0.11518266385144788,0.01036909828324034,0.12250338270608806,0.012133657809670755,113.73891985126521,10.512104989258166,True,True,0.19886434393119398
107.61301537125307,37.9316375152483,77.00317786171246,36.675780967727675,30.609837470240837,9.679680521352758,3.929977373267664e-08,7.282581038778407e-09,439.5385919638313,74.17506530446848,298.73333959945575,71.21051694759045,140.80525236310785,20.760601845300574,1.267734636537956e-09,1.2677346365379562e-09,1037.722226642011,251.84336397020908,1007.1123889575338,251.65727440476613,30.609837470240837,9.679680521352758,2.1423636820748403e-07,2.5754921640817885e-08,3984.2126345552747,386.42007913135086,3870.956235903974,385.9712444734663,113.2563986398911,18.61923724224994,1.1409611728841605e-08,3.8032039096138685e-09,114.48158223079231,35.615219885891214,-0.06382654399045906,0.5001418237082261,-0.1320084425676603,0.24483177891262006,0.09567952103223973,0.2604585452196488,0.06807112725034761,0.10370117610324342,0.044378922106296737,0.11032006378165944,0.02147290053814325,0.9400028657387669,0.4419280099912248,-0.006618887678416022,-0.134255031485759,valid,0.22,0.09,22,9,2.0,150.0,3,9,9,6,9,1.0,1.0,-0.17501061744072122,0.1822198356555252,-0.3441377455503851,0.35038535807691634,0.09518202645408816,0.020109000263650447,0.10824382021733696,0.009388611329515854,97.81280066504212,19.323608669670687,True,True,0.1995049471935786
113.10483839057235,38.072626943544584,79.43401713781087,36.69412876588454,33.67082121726492,10.152134578255039,3.549656982306277e-08,6.943668573624515e-09,347.0304087783641,57.14576881936112,218.46909140208487,53.59211500747988,128.56131737501153,19.83744194650397,1.267734636537956e-09,1.2677346365379562e-09,1258.0928271483415,261.1935232448494,1221.361021964745,260.9782004824601,36.731804964289005,10.603558741976544,2.1930730675363583e-07,2.5879424127274968e-08,3850.858394215092,383.07843396336625,3734.5410118180353,382.61343540294354,116.31738238691518,18.869171073015707,1.0141877092303648e-08,3.5856950329642076e-09,113.37640167249171,32.090665334882644,-0.002400987312157099,0.4408552211576353,-0.005453852391321766,0.3259219812716999,0.1221338790464714,0.3267045158134864,0.07521176046063206,0.08990182278277642,0.0355551100406559,0.09011767591861766,0.017337404413966362,0.9976047636200008,0.43874584548533396,-0.000215853135841243,-0.005456770417620673,valid,0.29,0.08,29,8,2.0,150.0,3,9,9,2,9,1.0,1.0,-0.07703518818067692,0.2778499596960538,-0.12010277542308996,0.5665938904003504,0.09019540691009448,0.022214795603023394,0.0922933073478482,0.013207361221772242,112.49199747306302,26.718673006516433,True,True,0.21198325348393424
