ACounts,A_Unc,QCD_ACounts,QCDA_Unc,TTJets_ACounts,TTJetsA_Unc,DY_ACounts,DYA_Unc,BCounts,B_Unc,QCD_BCounts,QCDB_Unc,TTJets_BCounts,TTJetsB_Unc,DY_BCounts,DYB_Unc,CCounts,C_Unc,QCD_CCounts,QCDC_Unc,TTJets_CCounts,TTJetsC_Unc,DY_CCounts,DYC_Unc,DCounts,D_Unc,QCD_DCounts,QCDD_Unc,TTJets_DCounts,TTJetsD_Unc,DY_DCounts,DYD_Unc,prediction,predictionUnc,closure,closureUnc,closureSignificance,tf_AB,tf_AB_Unc,tf_CD,tf_CD_Unc,tf_AC,tf_AC_Unc,tf_BD,tf_BD_Unc,tf_closure_ratio,tf_closure_ratio_Unc,tf_AC_minus_BD,tf_AC_minus_BD_pull,status,muIsoCut,egmIsoCut,mu_idx,egm_idx,dPhiCut,mJJCut,pixelCut,valid_neighbor_count,closure_compatible_neighbor_count,closure_central_good_neighbor_count,target_a_neighbor_count,closure_compatible_neighbor_fraction,target_a_neighbor_fraction,closure_local_mean,closure_local_std,closureSignificance_local_mean,closureSignificance_local_std,tf_AC_local_mean,tf_AC_local_std,tf_BD_local_mean,tf_BD_local_std,ACounts_local_mean,ACounts_local_std,closure_compatible,closure_central_good
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.187378730131629,1.1521374371022102,2.187378730131629,1.1521374371022102,0.0,0.0,0.0,0.0,0.6686915334182771,0.6609031298600546,0.6686915308828079,0.6609031298600546,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5566.23039826882,468.7051767962458,5250.949072061661,467.67453612651053,315.2813259434806,31.065592131057098,2.636780190324643e-07,2.7003873503267422e-08,0.0002627777746449659,0.0002951272026386682,,,,0.0,0.0,0.00012013364262216851,0.00011916456253438009,0.0,0.0,0.0003929730847670151,0.00020961535576994678,0.0,0.0,-0.0003929730847670151,-1.8747342403592977,invalid:A,0.0,0.0,0,0,2.0,150.0,3,1,0,0,0,0.0,0.0,0.9778759048745496,0.0,0.9786175587506433,0.0,0.2687366193154718,0.0,0.005945554529427472,0.0,3.06358500116951,0.0,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.89370525110098,12.543301120903212,20.588786513445097,10.511246144578854,15.304918735120419,6.844567736367871,2.535469273075912e-09,1.7928475164821038e-09,0.6686915334182771,0.6609031298600546,0.6686915308828079,0.6609031298600546,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5532.52407174785,468.5387238780423,5232.547664278348,467.557817672113,299.97640720836023,30.30219310471552,2.611425497593884e-07,2.694429219636531e-08,0.00433831222298499,0.004562727675468382,,,,0.0,0.0,0.0001208655443241519,0.00011989552925871361,0.0,0.0,0.006487763050936233,0.0023328191368561517,0.0,0.0,-0.006487763050936233,-2.781082745951551,invalid:A,0.0,0.01,0,1,2.0,150.0,3,2,0,0,0,0.0,0.0,0.9558201061790468,0.022055798695502726,0.970440170855219,0.008177387895424215,0.27406401064614566,0.005327391330673836,0.012225618761252803,0.00628006423182533,3.111054457420433,0.047469456250922804,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.08293975453552,36.05702320678589,67.35113478137237,34.462638676400694,36.731804964289005,10.603558741976544,8.874142455765693e-09,3.8032039096138685e-09,0.6686915334182771,0.6609031298600546,0.6686915308828079,0.6609031298600546,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5464.334837244416,467.31762352145387,5185.7853160104205,466.40446577759167,278.54952097919164,29.199923911864044,2.548038765766986e-07,2.6734711971561734e-08,0.012737027041747036,0.013383979264982332,,,,0.0,0.0,0.00012237382102951226,0.00012140045010306717,0.0,0.0,0.019047687020406497,0.006796710034758436,0.0,0.0,-0.019047687020406497,-2.8024863386839303,invalid:A,0.0,0.02,0,2,2.0,150.0,3,3,0,0,0,0.0,0.0,0.9315900188454291,0.038710460710947865,0.9499446506712848,0.029744116680137045,0.27583980775637024,0.005022712714605193,0.019034584735603127,0.010909483937548202,3.126877609504074,0.044754632552354214,False,False
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.79593820642617,39.64310144681079,90.02740953258586,36.05352228056656,88.76852866369843,16.4839019496848,1.0141877092303648e-08,4.008928920145659e-09,0.6686915334182771,0.6609031298600546,0.6686915308828079,0.6609031298600546,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5389.6218387925255,467.0270813175098,5163.1090412592075,466.2841866211908,226.5127972797822,26.331577829032092,2.5353614194016063e-07,2.6704637670144268e-08,0.02218325026584803,0.02255187737937519,,,,0.0,0.0,0.00012407021372172724,0.00012309553256630064,0.0,0.0,0.033174115653072066,0.007897227827594224,0.0,0.0,-0.033174115653072066,-4.200729215023556,invalid:A,0.0,0.03,0,3,2.0,150.0,3,4,1,0,0,0.25,0.0,-2.140155137715314,5.257383166010745,0.5054146145095053,0.8161263626197717,0.23046207528997853,0.13479555676696373,0.03654412213802828,0.012053960282193976,2.5354155050717297,1.4871961180008777,False,False
0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0,0.0,0.0,0.0,254.15060187643894,44.26431364142989,147.01617071157997,40.3905027161433,107.13443114584292,18.10902406216569,1.9016019548069342e-08,5.227003811700007e-09,0.6660902805405856,0.6608980106962666,0.6660902780051163,0.6608980106962666,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5314.2671751225125,466.611766583449,5106.120280080213,465.9285422166773,208.14689479763769,25.24151861455845,2.446619994843949e-07,2.6493161671135858e-08,0.03185523800833993,0.03221183069770988,-11.24611350996724,17.415823289525296,-0.9052283423156148,1.0235084467579701e-05,1.0389158704515682e-05,0.0001253400061740836,0.00012484896155326252,0.0039052557193605163,0.005501381948824915,0.04782420482473764,0.009327946224732863,0.08165856042295294,0.11613080813318191,-0.04391894910537712,-4.055531388644894,valid,0.0,0.04,0,4,2.0,150.0,3,5,2,0,0,0.4,0.0,-4.553836335583145,6.695931628021318,0.23009614180353638,0.9362224912463483,0.20110447927787395,0.16362588899363903,0.04901783201857439,0.009598001555463703,2.161550459911954,1.7793454257457018,True,False
0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0,0.0,0.0,0.0,310.31717647750696,47.004437035669646,175.63389158436033,42.392850282332105,134.6832848690597,20.304269156510077,2.4086958094221165e-08,5.8094899330525135e-09,0.6660902805405856,0.6608980106962666,0.6660902780051163,0.6608980106962666,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5258.100600521443,466.3437070179395,5077.502559207432,465.7506257717327,180.59804107442093,23.51186229274896,2.395910609382431e-07,2.6371556853895258e-08,0.0393106315075004,0.03960983245765528,-14.112191453829663,21.453353022554715,-0.9247823436868795,8.382561697741285e-06,8.478180414828497e-06,0.00012667887724980572,0.0001261925409629294,0.0039052557193605163,0.005501381948824915,0.0590169721071394,0.010359092296010737,0.0661717397543018,0.09393777847526567,-0.055111716387778883,-4.698644669272878,valid,0.0,0.05,0,5,2.0,150.0,3,6,3,0,0,0.5,0.0,-6.69518251453005,7.733058189481325,0.0460377314257317,0.9684460164186844,0.1815327486031376,0.17762749288377702,0.05915601680900547,0.009702075485193216,1.9123070964721034,1.909705843594412,True,False
0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0,0.0,0.0,0.0,371.81253907710357,58.10550829164656,224.88531919332516,54.09721122065737,146.92721985715602,21.207117483953088,2.662242736729708e-08,6.079841733104123e-09,0.6660902805405856,0.6608980106962666,0.6660902780051163,0.6608980106962666,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5196.605237921848,465.0909804354879,5028.251131598468,464.53664107362766,168.3541060863246,22.700863033704422,2.3705559166516722e-07,2.6310543678929822e-08,0.04765817435103389,0.04805926594842379,-17.32123849232495,26.01940238744126,-0.9361580016083314,6.996140808344673e-06,7.081056398893736e-06,0.0001281779642755698,0.0001276951408310258,0.0039052557193605163,0.005501381948824915,0.07154912140792005,0.012885273778929136,0.05458146295180402,0.07751534089975086,-0.06764386568855954,-4.828066738541421,valid,0.0,0.06,0,6,2.0,150.0,3,6,3,0,0,0.5,0.0,-7.927632290161874,8.83729565862193,0.02323844506336255,0.9572937588087881,0.18158485569827398,0.1776796305412192,0.06868488580386133,0.007332264120814464,1.912714974406654,1.9101138957221533,True,False
0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0,0.0,0.0,0.0,395.19335569998805,59.131072090614744,245.20515206538226,55.11236007564676,149.98820360418011,21.426886229168588,3.042563127691095e-08,6.464203649764495e-09,0.6660902805405856,0.6608980106962666,0.6660902780051163,0.6608980106962666,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5173.224421298964,464.9617043259461,5007.931298726411,464.4172982660239,165.2931223393005,22.493544873484534,2.3325238775555337e-07,2.6218757700448737e-08,0.05088401966135541,0.051262624823548014,-18.5613506467358,27.767035549732153,-0.9406604645682441,6.582228269207845e-06,6.655501376539735e-06,0.00012875727521083157,0.0001282766686978219,0.0039052557193605163,0.005501381948824915,0.07639207649158153,0.01333386195377188,0.051121214381322375,0.07256577537546091,-0.07248682077222102,-5.025367246962163,valid,0.0,0.07,0,7,2.0,150.0,3,6,3,0,0,0.5,0.0,-9.267540594549676,10.148331441612418,0.0007584385410136693,0.9428071089127313,0.1816369628474079,0.17773173768142456,0.07904484013181903,0.007856173216877605,1.9131228527637827,1.9105217740422735,True,False
0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0,0.0,0.0,0.0,460.1326459160588,68.66705039224902,297.90050728701806,64.95054942104609,162.23213859227644,22.28429804763697,3.676430445960073e-08,7.0584477308413024e-09,0.6660902805405856,0.6608980106962666,0.6660902780051163,0.6608980106962666,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5108.285131082892,463.6493355615884,4955.235943504775,463.14384945902617,153.04918735120418,21.64442364622537,2.269137145728636e-07,2.6065062820017333e-08,0.05999858569741536,0.060446279320163276,-22.065264516174164,32.74113404414167,-0.9486813592903185,5.653267380133065e-06,5.715871393654593e-06,0.00013039410750342805,0.00012991786083651658,0.0039052557193605163,0.005501381948824915,0.09007575617035231,0.015733291355202197,0.04335523658524555,0.061542741534899685,-0.0861705004509918,-5.170007781545397,valid,0.0,0.08,0,8,2.0,150.0,3,6,3,0,0,0.5,0.0,-10.851237941751014,11.906652343101268,0.06521672586428014,1.0246653530818215,0.2733192010914194,0.3258346170660627,0.09141319268282862,0.013226531674520496,2.4241282311045405,2.628047209450708,True,False
0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0026012528776915727,0.0,0.0,0.0,0.0,547.1490060822066,83.31116030126958,375.73391620829045,80.10025359990618,171.4150898333487,22.906304895695282,4.056750836921459e-08,7.3920996810820134e-09,0.6660902805405856,0.6608980106962666,0.6660902780051163,0.6608980106962666,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,5021.268770916746,461.24301701546676,4877.4025345835025,460.7653942464121,143.86623611013192,20.985047307038485,2.231105106632497e-07,2.5972409331546732e-08,0.07258138362752108,0.0731630681087743,-26.902471247598157,39.61848993025972,-0.9558913194398839,4.754194650407071e-06,4.80899035269886e-06,0.00013265377953846827,0.0001321825750702981,0.0039052557193605163,0.005501381948824915,0.10896628542397507,0.019377082175431975,0.035839119450255856,0.050887671577533156,-0.10506102970461456,-5.215784082813435,valid,0.0,0.09,0,9,2.0,150.0,3,6,3,0,0,0.5,0.0,-12.597648913741219,13.593160813390767,0.12984379037405783,1.0955794521552964,0.3649493322935457,0.40489152738317646,0.105056729880654,0.011373656737639515,2.9347257317220374,3.104866049901008,True,False
