sample_index,sample_name,sig_A,sig_B,sig_C,sig_D,sig_A_unc,sig_B_unc,sig_C_unc,sig_D_unc,B_A,AsimovSig,signalEff,muIsoCut,egmIsoCut,dPhiCut,pixelCut,mJJCut
15,2Mu2E_500GeV_0p25GeV_0p4mm_info,17.3275264084507,0.1316681338028169,2.080356514084507,0.02633362676056338,0.6754973080064391,0.05888377953072729,0.2340583943609118,0.02633362676056338,107.04722049931104,1.6323640667379686,0.8855989232839838,0.21,0.1,2.0,3,150.0
3,2Mu2E_500GeV_0p25GeV_0p04mm_info,15.050603133719683,0.07705086928525434,1.605226443442799,0.012841811547542391,0.4396328116963964,0.03145588566445966,0.1435758178727328,0.012841811547542391,107.04722049931104,1.4224426734168034,0.8987730061349694,0.21,0.1,2.0,3,150.0
12,2Mu2E_200GeV_0p25GeV_1p0mm_info,14.554081950207468,0.5585788381742739,4.189341286307054,0.15516078838174274,0.6720450624127348,0.1316582947667774,0.36056108963214173,0.06939001405280727,107.04722049931104,1.3764911315061137,0.7480063795853269,0.21,0.1,2.0,3,150.0
16,2Mu2E_500GeV_1p2GeV_1p9mm_info,13.692172751558326,0.1864692787177204,2.330865983971505,0.013319234194122885,0.42704713499143543,0.04983601100861196,0.17619690665738474,0.013319234194122885,107.04722049931104,1.296573654973868,0.8440065681444991,0.21,0.1,2.0,3,150.0
0,2Mu2E_200GeV_0p25GeV_0p1mm_info,12.403399477806788,0.12497127937336815,3.9365953002610965,0.0937284595300261,0.6225087753037062,0.06248563968668407,0.3506997829514646,0.05411415134038952,107.04722049931104,1.1767174635890023,0.7490566037735849,0.21,0.1,2.0,3,150.0
6,2Mu2E_800GeV_0p25GeV_0p025mm_info,11.479287698412698,0.02374206349206349,0.9852956349206349,0.011871031746031746,0.36914900607977913,0.016788174094599657,0.10815024623813559,0.011871031746031746,107.04722049931104,1.0905069601437076,0.9183285849952518,0.21,0.1,2.0,3,150.0
4,2Mu2E_500GeV_1p2GeV_0p19mm_info,11.400677165354331,0.08076040494938133,1.5209876265466817,0.0,0.39173190334104363,0.03297029725775423,0.14308248008457009,0.0,107.04722049931104,1.0831629636521964,0.8768115942028986,0.21,0.1,2.0,3,150.0
19,2Mu2E_800GeV_1p2GeV_1p2mm_info,11.208226430462227,0.0974628385257585,1.486308287517817,0.024365709631439626,0.36952428248226776,0.034458317017626666,0.1345640296596037,0.017229158508813333,107.04722049931104,1.0651768067565188,0.8745247148288974,0.21,0.1,2.0,3,150.0
18,2Mu2E_800GeV_0p25GeV_0p25mm_info,10.705529720986656,0.06048321876263647,1.2217610190052568,0.0,0.35986244485479235,0.027048917730249172,0.12156976514590838,0.0,107.04722049931104,1.0181490546959737,0.893037336024218,0.21,0.1,2.0,3,150.0
20,2Mu2E_800GeV_5p0GeV_5p0mm_info,10.038590604026846,0.0,3.2123489932885905,0.0,2.007718120805369,0.0,1.1357368783460708,0.0,107.04722049931104,0.9556520280381795,0.7575757575757576,0.21,0.1,2.0,3,150.0
10,2Mu2E_1000GeV_1p2GeV_0p096mm_info,9.589353754940712,0.047296442687747034,0.8513359683794466,0.0,0.33672775363900626,0.023648221343873517,0.10033090605152048,0.0,107.04722049931104,0.9134878874862317,0.9143179255918827,0.21,0.1,2.0,3,150.0
17,2Mu2E_500GeV_5p0GeV_8p0mm_info,9.336441338221814,0.13709899175068743,4.304908340971585,0.04112969752520623,0.35777320945113394,0.04335450788448078,0.24294003233850303,0.023746241937865703,107.04722049931104,0.889726235923146,0.675595238095238,0.21,0.1,2.0,3,150.0
23,2Mu2E_1000GeV_5p0GeV_4p0mm_info,8.525177041690462,0.06833809251856082,2.750608223872073,0.017084523129640206,0.3816393380575938,0.03416904625928041,0.21677829647204305,0.017084523129640206,107.04722049931104,0.813389016617218,0.7503759398496241,0.21,0.1,2.0,3,150.0
22,2Mu2E_1000GeV_1p2GeV_0p96mm_info,8.075214723926381,0.0,0.5505828220858896,0.0,1.2173844245825984,0.0,0.3178791405424722,0.0,107.04722049931104,0.7709716003639421,0.9361702127659575,0.21,0.1,2.0,3,150.0
9,2Mu2E_1000GeV_0p25GeV_0p02mm_info,7.544340284544922,0.04664198012083414,0.5713642564802183,0.0,0.29659862169966017,0.02332099006041707,0.08162346521145974,0.0,107.04722049931104,0.7208551339665842,0.9242857142857144,0.21,0.1,2.0,3,150.0
21,2Mu2E_1000GeV_0p25GeV_0p2mm_info,7.32419996063767,0.03532572328281834,0.8242668765990947,0.0,0.29367366303291786,0.0203953158466534,0.09851873526379402,0.0,107.04722049931104,0.7000502709740076,0.8949640287769784,0.21,0.1,2.0,3,150.0
5,2Mu2E_500GeV_5p0GeV_0p8mm_info,7.304101734104046,0.013833526011560694,2.3240323699421968,0.013833526011560694,0.31787022718369506,0.013833526011560694,0.1793029900512103,0.013833526011560694,107.04722049931104,0.69815017393254,0.7564469914040115,0.21,0.1,2.0,3,150.0
13,2Mu2E_200GeV_1p2GeV_4p8mm_info,7.092523474178404,0.3511150234741784,2.808920187793427,0.0,0.49902821023738847,0.11103231948818905,0.3140468241638789,0.0,107.04722049931104,0.678140656330701,0.6917808219178082,0.21,0.1,2.0,3,150.0
8,2Mu2E_800GeV_5p0GeV_0p5mm_info,7.07886234357224,0.13613196814562,1.3613196814562,0.0,0.6941395619983077,0.09625983781203898,0.30440033468444233,0.0,107.04722049931104,0.6768482599439448,0.8253968253968252,0.21,0.1,2.0,3,150.0
7,2Mu2E_800GeV_1p2GeV_0p12mm_info,6.903461538461538,0.0,1.150576923076923,0.0,2.8183263713599525,0.0,1.150576923076923,0.0,107.04722049931104,0.6602500490797144,0.8571428571428571,0.21,0.1,2.0,3,150.0
11,2Mu2E_1000GeV_5p0GeV_0p4mm_info,6.7702368421052626,0.060556680161943315,1.5623623481781375,0.012111336032388663,0.2863505079681101,0.027081770666763646,0.1375583345462471,0.012111336032388663,107.04722049931104,0.6476372502756054,0.8054755043227665,0.21,0.1,2.0,3,150.0
24,2Mu2E_200GeV_0p25GeV_5p0mm_info,6.221762307020099,0.34855811243810075,1.3245208272647828,0.08713952810952519,0.329290580321807,0.07793996335206083,0.15193295880689686,0.03896998167603041,107.04722049931104,0.5956592623312639,0.7794759825327511,0.21,0.1,2.0,3,150.0
1,2Mu2E_200GeV_1p2GeV_0p48mm_info,5.782960486322189,0.18185410334346505,2.0367659574468084,0.03637082066869301,0.4586185983823181,0.08132762741265193,0.2721742996360911,0.03637082066869301,107.04722049931104,0.5540140507461808,0.7194570135746605,0.21,0.1,2.0,3,150.0
2,2Mu2E_200GeV_5p0GeV_2p0mm_info,5.228589263420725,0.11204119850187266,1.6806179775280898,0.03734706616729089,0.44189644622078655,0.06468701611538448,0.2505317361307349,0.03734706616729089,107.04722049931104,0.5013229256886662,0.7407407407407408,0.21,0.1,2.0,3,150.0
14,2Mu2E_200GeV_5p0GeV_20p0mm_info,5.131472964574269,0.2602921068986948,4.127489123679304,0.14873834679925418,0.43681998735058036,0.09838116901242663,0.39176393041216867,0.07436917339962709,107.04722049931104,0.49208339287725794,0.5307692307692308,0.21,0.1,2.0,3,150.0
28,2Mu2E_500GeV_1p2GeV_9p6mm_info,4.863029556650246,0.08841871921182265,0.44209359605911325,0.014736453201970442,0.26770096653052156,0.036096790963230915,0.08071487836338445,0.014736453201970442,107.04722049931104,0.4665300603985801,0.899182561307902,0.21,0.1,2.0,3,150.0
27,2Mu2E_500GeV_0p25GeV_2p0mm_info,4.437153110047847,0.0,0.7156698564593301,0.0,0.7969362244691871,0.0,0.3200572896981158,0.0,107.04722049931104,0.42594844104217156,0.861111111111111,0.21,0.1,2.0,3,150.0
29,2Mu2E_500GeV_5p0GeV_40p0mm_info,3.8795542046605873,0.06061803444782168,1.2426697061803444,0.01515450861195542,0.2424721377912867,0.03030901722391084,0.1372299120604766,0.01515450861195542,107.04722049931104,0.3727365607177572,0.7463556851311953,0.21,0.1,2.0,3,150.0
31,2Mu2E_800GeV_1p2GeV_6p0mm_info,3.6660539215686274,0.0,0.4399264705882353,0.0,0.7332107843137254,0.0,0.25399166621775965,0.0,107.04722049931104,0.3523384813232017,0.8928571428571429,0.21,0.1,2.0,3,150.0
