ACounts,A_Unc,QCD_ACounts,QCDA_Unc,TTJets_ACounts,TTJetsA_Unc,DY_ACounts,DYA_Unc,BCounts,B_Unc,QCD_BCounts,QCDB_Unc,TTJets_BCounts,TTJetsB_Unc,DY_BCounts,DYB_Unc,CCounts,C_Unc,QCD_CCounts,QCDC_Unc,TTJets_CCounts,TTJetsC_Unc,DY_CCounts,DYC_Unc,DCounts,D_Unc,QCD_DCounts,QCDD_Unc,TTJets_DCounts,TTJetsD_Unc,DY_DCounts,DYD_Unc,prediction,predictionUnc,closure,closureUnc,closureSig,transfer_A_over_C,transfer_A_over_C_Unc,transfer_B_over_D,transfer_B_over_D_Unc,transfer_difference,transfer_pull,status,scan_variable,scan_cut,mJIsoCut,egmIsoCut,mJJCut,dPhiCut,pixelCut
0.005202509558587055,0.0036787270987941193,0.005202505755383145,0.003678727098793464,0.0,0.0,3.8032039096138685e-09,2.195780800998604e-09,3.2456590726110655,3.0637679392942103,0.18467531671283938,0.1305851687654221,3.0609837470240837,3.0609837470240837,8.874142455765693e-09,3.3541105767022896e-09,0.09233766089188897,0.0923376583564197,0.09233765835641969,0.09233765835641969,0.0,0.0,2.535469273075912e-09,1.7928475164821038e-09,0.2138369547019533,0.13380167173007768,0.21383695343421866,0.13380167173007768,0.0,0.0,1.267734636537956e-09,1.2677346365379562e-09,1.4015190556522914,2.1174448962153094,-268.3928843127255,449.3761095391973,-0.6594336604942326,0.05634222816926532,0.0690048369149706,15.178195355124078,17.189473253456825,-15.121853126954813,-0.879708822958789,valid,isolation,0.0,0.0,0.75,100.0,2.0,3
9.886006949928392,5.34289447582347,0.7030556733595703,0.6615564081377743,9.182951241072251,5.301779370988272,3.549656982306277e-08,6.943668573624515e-09,13.403476553961545,6.161068134832727,1.1595414593862858,0.6930184441043545,12.243934988096335,6.121967494048167,1.0647892410175775e-07,2.2809636999573787e-08,7.07765685920271,4.381287065204763,0.9556893486739927,0.6755985114247675,6.121967494048167,4.3288847292450745,1.6480550274993428e-08,4.570882235719305e-09,15.8591107591681,10.420956461753049,15.859110726207,10.420956461753049,0.0,0.0,3.2961100549986856e-08,6.708221153404579e-09,5.981748233548805,6.059788935515656,0.3949277737871575,0.6947403295102408,0.48327005866087774,1.396790936123744,1.1478234909900242,0.8451594012743141,0.6777441275189307,0.55163153484943,0.41383329502005495,valid,isolation,0.007575757575757576,0.007575757575757576,0.75,100.0,2.0,3
17.56152957417408,6.94055439502696,2.256610757918644,1.1502990100839194,15.304918735120419,6.844567736367871,8.113501673842919e-08,1.0299124874121565e-08,231.2441448632103,125.53430738941142,191.45135589204398,125.04821970841944,39.79278871131309,11.036533853257225,2.5985324438798927e-07,3.858130143303185e-08,10.494324939697464,5.347207605730287,1.3113736643963778,0.6955319404190116,9.182951241072251,5.301779370988272,3.422883518652481e-08,6.587342402995812e-09,37.01743347171444,12.60837605870154,21.712514654191267,10.58881671103576,15.304918735120419,6.844567736367871,8.240275137496715e-08,1.0530594783713959e-08,65.5569813734201,53.674278884511125,-2.7329881259220126,3.3938032636025146,-0.8868149812655226,1.673431085380548,1.0790943486703042,6.24689837127437,4.003452597412353,-4.573467285893822,-1.1030149508959992,valid,isolation,0.015151515151515152,0.015151515151515152,0.75,100.0,2.0,3
17.885759007602474,6.942461453191836,2.5808401545827353,1.1617502017759667,15.304918735120419,6.844567736367871,1.1789932119802991e-07,1.2485738165673997e-08,275.93458455592526,126.30385540931572,208.59294169803675,125.48518724641299,67.34164243452985,14.357286407605137,4.233586563990939e-07,5.340108476478774e-08,18.65251033815642,9.116097055370696,9.469559056516662,7.415818297686473,9.182951241072251,5.301779370988272,4.056750836921459e-08,7.171390065928415e-09,299.5593077970268,164.7850617319328,265.8884864491852,164.47203632685375,33.67082121726492,10.152134578255039,1.3057666756340947e-07,1.323553817741857e-08,17.181481453321002,14.889302879879391,0.03937644211700009,0.9121592169154474,0.04286977121447029,0.9588928612474511,0.5984635187256615,0.9211350720001362,0.6591869294025315,0.03775778924731488,0.04240879830489856,valid,isolation,0.022727272727272728,0.022727272727272728,0.75,100.0,2.0,3
145.15364168507026,116.41726690692144,126.78773905713626,116.17556673018692,18.365902482144502,7.497848291161511,1.4578948320186496e-07,1.3829352187744901e-08,456.8864572963634,175.08478465316526,380.3618631111967,174.4145672802493,76.52459367560209,15.304918735120419,5.095646116836749e-07,5.4414723462001994e-08,26.270845332779395,11.71266082201654,17.08789401565385,10.44402025242025,9.182951241072251,5.301779370988272,7.60532928248468e-08,2.1947845302991655e-08,310.0428338503462,164.87179381846258,267.18906123227447,164.47350454077397,42.853772458337176,11.453152447847641,1.5973456420378247e-07,1.4675089388581426e-08,38.71333939641346,30.688914846314326,0.7332940534801937,0.30075833029935484,0.8840974592615848,5.5252748758699095,5.070096209303811,1.473623665550989,0.9659066880766581,4.051651210318921,0.7850084017133394,valid,isolation,0.030303030303030304,0.030303030303030304,0.75,100.0,2.0,3
155.7839126811322,116.68946804967787,134.35702626815288,116.4080950931677,21.426886229168588,8.098601761836372,1.8381073693057308e-07,2.505910342238431e-08,468.83069397516215,175.1700498456647,383.12314844624746,174.41960027744983,85.70754491667435,16.197203523672744,6.122403318758187e-07,5.896117549856381e-08,30.156384062185925,12.124482609847808,17.912448984091217,10.46539978014789,12.243934988096335,6.121967494048167,8.999837382676431e-08,2.2346958979680237e-08,440.29221492474676,201.73460731435634,391.31647475558964,201.3627022173789,48.97573995238534,12.243934988096335,2.1677183748055993e-07,2.5941451296655276e-08,32.11103441852272,22.958376436410997,0.793874515886313,0.21344204277020418,1.0399099393884226,5.165868439660667,4.391651964477347,1.0648171329926719,0.6295337110783172,4.101051306667995,0.9243797916846582,valid,isolation,0.03787878787878788,0.03787878787878788,0.75,100.0,2.0,3
157.26155167966678,116.69325490185844,135.8346652502069,116.41189109834652,21.426886229168588,8.098601761836372,2.002912872055665e-07,2.547256619868849e-08,726.7085334782424,240.21633815000894,631.8180365916455,239.61099901238575,94.8904961577466,17.042836221882602,7.288503477024496e-07,6.629355784703039e-08,30.258818776725146,12.124835269434518,18.014883683417622,10.465808344926867,12.243934988096335,6.121967494048167,1.052111894652198e-07,2.2774380100095973e-08,444.8041650882137,201.76000195325318,392.7674411555519,201.36487981444148,52.03672369940942,12.620759307279226,2.3325238775555337e-07,2.6341067931835112e-08,49.43600699794909,34.092076262703856,0.6856446698513599,0.3184450740028952,0.8869324302629147,5.197213838387874,4.382877816206632,1.6337718720195018,0.9169702066768148,3.5634419663683725,0.7958067220732871,valid,isolation,0.045454545454545456,0.045454545454545456,0.75,100.0,2.0,3
173.35744556193345,117.15937772184726,151.9305591185285,116.87913602381592,21.426886229168588,8.098601761836372,2.1423636820748403e-07,2.5817247935092264e-08,863.6051066425308,266.9675246736908,762.5926421934281,266.387803251036,101.01246365179476,17.584012894814563,7.973080180754992e-07,6.694491744625708e-08,30.324637842063407,12.124906179339689,18.080702744952678,10.465890495299833,12.243934988096335,6.121967494048167,1.0901439337483365e-07,2.28799878118342e-08,456.21996992040243,201.91826202719523,401.12226221662957,201.50020186861167,55.0977074464335,12.986654187735223,2.5733934584977453e-07,2.691445208163143e-08,57.40325681504133,38.56359962720753,0.6688734272187142,0.31553729540131054,0.9400961762335097,5.716719403701131,4.489024701269708,1.8929577036998306,1.0219305671423256,3.8237617000013,0.8305525042863513,valid,isolation,0.05303030303030303,0.05303030303030303,0.75,100.0,2.0,3
179.56934524643043,117.23933464653346,152.02049129629995,116.87914696328833,27.54885372321675,9.182951241072251,2.269137145728636e-07,2.6126649269066362e-08,927.727388501123,269.25429537943205,811.4100052459174,268.59231180972347,116.31738238691518,18.869171073015707,8.682903723541943e-07,7.04280880268155e-08,30.993021406208644,12.142904975748309,18.74908630529471,10.48673711179367,12.243934988096335,6.121967494048167,1.1281759728444753e-07,2.298511030201325e-08,467.9814367905628,202.07744100282792,409.82274530934023,201.63647823189143,58.15869119345759,13.342518821098452,2.8776497712668546e-07,2.7737843497601234e-08,61.4406310817181,40.01636803557437,0.6578445446944154,0.315537285973985,0.9535701021011106,5.793863815112211,4.4116030747871795,1.9824021116382695,1.0314023411815814,3.811461703473941,0.8412770752407039,valid,isolation,0.06060606060606061,0.06060606060606061,0.75,100.0,2.0,3
195.03591846487956,117.70146848593967,167.48706450967816,117.3426993478961,27.54885372321675,9.182951241072251,2.319846531190154e-07,2.6249388687425044e-08,955.7595666714384,269.52541376936585,827.1982483901045,268.7943908725905,128.56131737501153,19.83744194650397,9.063224114503329e-07,7.076955642345948e-08,31.75879114665982,12.161228212688973,19.514856044478154,10.507948688631853,12.243934988096335,6.121967494048167,1.1408533192098548e-07,2.3020044454874402e-08,488.8433124778492,202.3911091065493,424.56265347595604,201.90443034735193,64.28065868750576,14.02718972176742,3.143874044939825e-07,2.833969186811419e-08,62.09304226845839,39.15157157862356,0.6816327845804485,0.27786810736195516,1.07175474410826,6.1411631684662575,4.389221594385665,1.9551450173817124,0.9794039726534453,4.186018151084545,0.9308125456054486,valid,isolation,0.06818181818181818,0.06818181818181818,0.75,100.0,2.0,3
